Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,85837.13966942599,88961.17473876516,106836.51581476716,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,280444.4062175214,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,300667.04338414664,238230.728434056,48233.311094055796,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,73960.71356394277,60944.389832309,46266.29087511384,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,27951.403398255465,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,5920.93777947649,17135.67351131981,1574.0730082810262,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,1366405.7130919865,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,906394.6793762267,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,218710.5958481505,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,2835337.0514865713,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,153384.01948349125,0.0,[GWh]
