{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;0.00010458597740743369;0.00026659;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.2155911;0.703;0.00675231;0.28779143;0.092904555167603;0.0;0.0001
2;0.00010388964728214047;0.00026744;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.220087;0.6875;0.04001976;0.28258962;0.4091053637360688;0.0;0.0001
3;0.00010331585377010521;0.0002686;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.22651919;0.6535;0.01333992;0.28052143;0.5197752923864032;0.0;0.0001
4;0.00010283502700315209;0.0002695;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.22683748;0.6803;0.00444664;0.27970669;0.3269949262167034;0.0;0.0001
5;0.00010263056919868314;0.00027044;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.22926448;0.7272;0.00082345;0.27845325;0.0960420401028028;0.0;0.0001
6;0.00010249330518026364;0.00027168;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.23107477;0.749;0.00098814;0.27732514;0.0031686222294514;0.0;0.0001
7;0.00010242358012145205;0.00027439;0.0;0.0001821001433304;0.0001141552511415;0.0;0.24315668;0.7706;0.00444664;0.27701178;0.0123944278191115;0.0;0.0001
8;0.00010291752348362718;0.00027775;0.0;0.0001586033506426;0.0001141552511415;0.0;0.26023182;0.801;0.00839921;0.27600902;0.1604354866119189;0.0;0.0001
9;0.00010352031157457416;0.00026761;0.0;0.0001468549542987;0.0001141552511415;0.02;0.25683669;0.7828;0.00477602;0.27582101;0.2310227515278211;0.0;0.0001
10;0.00010476742364133776;0.00025006;0.0;0.0001644775488145;0.0001141552511415;0.04;0.25202912;0.7865;0.00790514;0.27801454;0.1497434287259939;0.33802971;0.0001
