{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;0.00010473578246332203;0.00026144;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.1482;0.0;0.04769231;0.21818182;0.0;0.0;0.0001
2;0.00010437979346759593;0.00025794;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.1484;0.0;0.04615385;0.21818182;0.0;0.0;0.0001
3;0.00010402380447186985;0.00025386;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.1497;0.0;0.04615385;0.21818182;0.0;0.0;0.0001
4;0.00010380427408924366;0.00024933;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.1504;0.0;0.04615385;0.21818182;0.0;0.0;0.0001
5;0.00010370348341042786;0.00024509;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.155;0.0;0.04615385;0.21818182;0.0;0.0;0.0001
6;0.00010337292220011078;0.0002415;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.1509;0.0;0.04615385;0.21818182;0.0;0.0;0.0001
7;0.00010318330685914224;0.00023852;0.0;0.0001821001433304;0.0001141552511415;0.0;0.1419;0.0;0.07846154;0.20454545;0.0;0.0;0.0001
8;0.0001030142868737765;0.00023398;0.0;0.0001586033506426;0.0001141552511415;0.0;0.1208;0.0;0.18153846;0.19090909;0.0;0.0;0.0001
9;0.00010356242248322677;0.00022363;0.0;0.0001468549542987;0.0001141552511415;0.08;0.1061;0.0;0.28;0.17954545;0.0;0.0;0.0001
10;0.0001059869215517272;0.00021356;0.0;0.0001644775488145;0.0001141552511415;0.01;0.1049;0.0;0.27384615;0.17954545;0.0;0.00355457;0.0001
11;0.00010793082397021215;0.00020459;0.0;0.0001879743415023;0.0001141552511415;0.02;0.1321;0.0;0.18153846;0.19090909;0.0;0.0;0.0001
12;0.0001086761687388979;0.00019934;0.0;0.0002067717756526;0.0001141552511415;0.01;0.1623;0.0;0.18769231;0.17954545;0.0;0.00918171;0.0001
13;0.00010904907123894582;0.0001998;0.0;0.0001879743415023;0.0001141552511415;0.2;0.1565;0.0;0.17846154;0.18181818;0.0;0.0;0.0001
14;0.00010916481943859043;0.00020488;0.0;0.0001903240207711;0.0001141552511415;0.04;0.1547;0.0;0.17538462;0.18181818;0.0;0.0;0.0001
15;0.00010918115765364961;0.00022051;0.0;0.0002138208134589;0.0001141552511415;0.01;0.1772;0.0;0.18;0.17954545;0.0;0.01067486;0.0001
16;0.00010896726510579737;0.00023756;0.0;0.000223219530534;0.0001141552511415;0.0;0.2174;0.0;0.28307692;0.16818182;0.0;0.0;0.0001
17;0.00010953841228575353;0.00024146;0.0;0.000223219530534;0.0001141552511415;0.0;0.2186;0.0;0.46307692;0.15681818;0.0;0.0;0.0001
18;0.00011002084986140948;0.00024353;0.0;0.0001644775488145;0.0001141552511415;0.0;0.2013;0.0;0.77846154;0.15;0.0;0.0;0.0001
19;0.00010977416582558637;0.00024546;0.0;0.0001174839634389;0.0001141552511415;0.0;0.2045;0.0;0.69538462;0.19545455;0.0;0.0;0.0001
20;0.00010903618475946251;0.00024636;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.2208;0.0;0.41538462;0.20454545;0.0;0.0;0.0001
21;0.00010869377259033489;0.00024624;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.2387;0.0;0.18307692;0.22727273;0.0;0.0;0.0001
22;0.00010718352321803341;0.00024429;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.2554;0.0;0.08153846;0.225;0.0;0.0;0.0001
23;0.00010622957856271181;0.0002432;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.2844;0.0;0.06615385;0.22727273;0.0;0.0;0.0001
24;0.00010489318160558231;0.00024343;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.3307;0.0;0.05538462;0.225;0.0;0.0;0.0001
25;0.00010418442523400094;0.00024308;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.3572;0.0;0.04615385;0.22954545;0.0;0.0;0.0001
26;0.00010439164442640647;0.00024271;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.3815;0.0;0.04615385;0.22954545;0.0;0.0;0.0001
27;0.0001040236894140173;0.00024387;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.4101;0.0;0.04615385;0.22954545;0.0;0.0;0.0001
