parameter name;avail_local;c_op_local
WOOD;58657.97;0.02358
WET_BIOMASS;1603.44;0.02369
WASTE;9524.97;0.00610523
OTHER_LIGNO;4539.83;0.02111
BIOWASTE;2321.69;0.00058
BIOMASS_RESIDUES;7301.95;0.02089
