;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;6.411857738210789e-05;0.00038313422517092616;0.0;1.17e-06;0.00011415525114155251;0.0;0.3352;0.29;0.3494488555349611;0.2596693499240156;0.0001;0.0;0.0001
2017-01-01 01:00:00+00:00;6.320986755180492e-05;0.00038313422517092616;0.0;1.41e-05;0.00011415525114155251;0.0;0.33;0.355;0.3497739644217582;0.2595061750111284;0.0001;0.0;0.0001
2017-01-01 02:00:00+00:00;6.140475150592262e-05;0.00038313422517092616;0.0;3.76e-05;0.00011415525114155251;0.0;0.3485;0.413;0.35009907330855516;0.2593430000982412;0.0001;0.0;0.0001
2017-01-01 03:00:00+00:00;6.006189984179987e-05;0.00038313422517092616;0.0;9.4e-05;0.00011415525114155251;0.0;0.3813;0.441;0.3504241821953522;0.25917982518535404;0.0001;0.0;0.0001
2017-01-01 04:00:00+00:00;5.965334171478637e-05;0.00038313422517092616;0.0;0.0001821;0.00011415525114155251;0.0;0.3966;0.449;0.3507492910821492;0.25901665027246684;0.0001;0.0;0.0001
2017-01-01 05:00:00+00:00;5.992167769304476e-05;0.00038313422517092616;0.0;0.000158603;0.00011415525114155251;0.0;0.3787;0.446;0.3510743999689463;0.25885347535957964;0.0001;0.0009975000000000001;0.0001
2017-01-01 06:00:00+00:00;6.015993816864537e-05;0.00038313422517092616;0.0;0.000146855;0.00011415525114155251;0.107;0.3177;0.452;0.35139950885574334;0.25869030044669244;0.0001;0.0701382;0.0001
2017-01-01 07:00:00+00:00;6.0464403809187446e-05;0.00038313422517092616;0.0;0.000164478;0.00011415525114155251;0.25;0.2316;0.467;0.3517246177425403;0.25852712553380525;0.0001;0.1915986;0.0001
2017-01-01 08:00:00+00:00;6.987764555012943e-05;0.00038313422517092616;0.0;0.000187974;0.00011415525114155251;0.351;0.2244;0.476;0.3520497266293374;0.25836395062091805;0.0001;0.28308389999999994;0.0001
2017-01-01 09:00:00+00:00;7.562831601286338e-05;0.00038313422517092616;0.0;0.000206772;0.00011415525114155251;0.402;0.2081;0.439;0.35237483551613447;0.25820077570803085;0.0001;0.3313348;0.0001
2017-01-01 10:00:00+00:00;7.689109653354658e-05;0.00038313422517092616;0.0;0.000187974;0.00011415525114155251;0.406;0.188;0.393;0.35269994440293145;0.2580376007951437;0.0001;0.3394268;0.0001
2017-01-01 11:00:00+00:00;7.624095790791183e-05;0.00038313422517092616;0.0;0.000190324;0.00011415525114155251;0.368;0.1808;0.351;0.35302505328972855;0.2578744258822565;0.0001;0.3028043;0.0001
2017-01-01 12:00:00+00:00;7.725590847487603e-05;0.00038313422517092616;0.0;0.000213821;0.00011415525114155251;0.273;0.1819;0.323;0.35335016217652554;0.2577112509693693;0.0001;0.2219571;0.0001
2017-01-01 13:00:00+00:00;7.948149567155187e-05;0.00038313422517092616;0.0;0.00022322;0.00011415525114155251;0.146;0.1804;0.308;0.3536752710633226;0.2576135376244896;0.0001;0.11889179999999999;0.0001
2017-01-01 14:00:00+00:00;8.326729839246804e-05;0.00038313422517092616;0.0;0.00022322;0.00011415525114155251;0.028;0.2238;0.303;0.35400037995011957;0.2575158242796098;0.0001;0.0244198;0.0001
2017-01-01 15:00:00+00:00;8.75427068611963e-05;0.00038313422517092616;0.0;0.000164478;0.00011415525114155251;0.0;0.273;0.285;0.35432548883691667;0.25741811093473005;0.0001;0.0;0.0001
2017-01-01 16:00:00+00:00;9.013837897694025e-05;0.00038313422517092616;0.0;0.000117484;0.00011415525114155251;0.0;0.301;0.251;0.3546505977237137;0.25732039758985026;0.0001;0.0;0.0001
2017-01-01 17:00:00+00:00;8.948863094224914e-05;0.00038313422517092616;0.0;8.81e-05;0.00011415525114155251;0.0;0.326;0.215;0.3549757066105107;0.2572226842449705;0.0001;0.0;0.0001
2017-01-01 18:00:00+00:00;8.834947245521772e-05;0.00038313422517092616;0.0;5.87e-05;0.00011415525114155251;0.0;0.3381;0.189;0.3553008154973078;0.2571249709000908;0.0001;0.0;0.0001
2017-01-01 19:00:00+00:00;8.705895997753834e-05;0.00038313422517092616;0.0;3.76e-05;0.00011415525114155251;0.0;0.3388;0.181;0.35562592438410484;0.25702725755521105;0.0001;0.0;0.0001
2017-01-01 20:00:00+00:00;8.150085085000291e-05;0.00038313422517092616;0.0;2.35e-05;0.00011415525114155251;0.0;0.3342;0.179;0.3559510332709019;0.2569295442103313;0.0001;0.0;0.0001
2017-01-01 21:00:00+00:00;7.728324984092857e-05;0.00038313422517092616;0.0;9.4e-06;0.00011415525114155251;0.0;0.3259;0.15;0.3562761421576989;0.2568318308654515;0.0001;0.0;0.0001
2017-01-01 22:00:00+00:00;7.176302803492307e-05;0.00038313422517092616;0.0;5.87e-06;0.00011415525114155251;0.0;0.3205;0.094;0.3566012510444959;0.2567341175205718;0.0001;0.0;0.0001
2017-01-01 23:00:00+00:00;6.901111954173607e-05;0.00038313422517092616;0.0;2.35e-06;0.00011415525114155251;0.0;0.3166;0.048;0.356926359931293;0.256636404175692;0.0001;0.0;0.0001
2017-01-02 00:00:00+00:00;7.066596223511719e-05;0.0003803910187029664;0.0;1.17e-06;0.00011415525114155251;0.0;0.3137;0.031;0.35725146881809;0.25653869083081227;0.0001;0.0;0.0001
2017-01-02 01:00:00+00:00;7.070269048040635e-05;0.00037765031592207815;0.0;1.41e-05;0.00011415525114155251;0.0;0.3137;0.037;0.35757657770488704;0.25644097748593253;0.0001;0.0;0.0001
2017-01-02 02:00:00+00:00;6.890317672593407e-05;0.0003749671979438333;0.0;3.76e-05;0.00011415525114155251;0.0;0.3143;0.05;0.35790168659168414;0.2563432641410528;0.0001;0.0;0.0001
2017-01-02 03:00:00+00:00;7.227065368702325e-05;0.0003724217827545187;0.0;9.4e-05;0.00011415525114155251;0.0;0.3091;0.057;0.35822679547848113;0.25624555079617306;0.0001;0.0;0.0001
2017-01-02 04:00:00+00:00;8.36111178750045e-05;0.0003701042030887066;0.0;0.0001821;0.00011415525114155251;0.0;0.2965;0.061;0.3585519043652782;0.25614783745129327;0.0001;0.0;0.0001
2017-01-02 05:00:00+00:00;0.00010406482380611246;0.0003680161280711115;0.0;0.000158603;0.00011415525114155251;0.0;0.2854;0.066;0.35887701325207527;0.25605012410641353;0.0001;0.001052;0.0001
