;2015;2020;2025;2030;2035;2040;2045;2050
AT;0.09067734811496851;0.112891319265262;0.09226958108217118;0.09217898368991462;0.0942545421120476;0.09581389150179641;0.09815038183933698;0.1003922674509365
BE;0.09211974029402431;0.11983281415277705;0.10244265796899366;0.10234375143572494;0.10412812023033204;0.106226283968641;0.10820059314740475;0.11014445345778365
BG;0.0889914327714891;0.10823663845133491;0.10144933586694971;0.10347897699646944;0.10912871783385159;0.11629530858394034;0.12249278939063074;0.1286871415801566
CH;0.10015093541903947;;;;0.09455077772895477;;;0.09500655514017788
CZ;0.058661141060532225;0.06525700283810965;0.055530409818653904;0.05259480934141031;0.05219118244217586;0.05204667066147403;0.05252318576726359;0.052960769841896384
DE;0.05894961228089128;0.06664938059003579;0.06276019686411038;0.061731354806000956;0.06304695456472921;0.06492802284232005;0.06686119410148285;0.06795416699590938
DK;0.14337492532507562;0.14862292180459186;0.1374730719229468;0.13409549220820693;0.13620619394825506;0.13948696128238555;0.14307101125702587;0.14677385451918662
EE;0.07599680541293244;0.0829195574733057;0.0780453154998731;0.076024438016513;0.07640358645788431;0.07797035048721106;0.08193071670176083;0.08577696298743695
ES;0.22194659042992124;0.3141341188396812;0.23907219563229384;0.24129848597528938;0.2435395516323356;0.24699266890099061;0.2513834588743926;0.2559902806958724
FI;0.13293002164796833;0.14854411441008025;0.1473478315073503;0.15439103681760405;0.16433474154929786;0.17569845067516218;0.1861909568529618;0.19681135659841636
FR;0.040500551403507626;0.05765286690926818;0.04199077095247002;0.04196075498097888;0.04224935818872349;0.042526939134454905;0.04286388479215513;0.04332401166162957
GB;0.13409153605482946;0.13204083652303314;0.13223799633757577;0.13160091874429508;0.13286459682715057;0.13398579427885451;0.13552185095714828;0.13764206382603167
GR;0.1911402841927908;0.21675673182094335;0.19800274221277178;0.2006254868649328;0.20638323299080852;0.21603469491697538;0.2252717447497945;0.2333810736588567
HR;0.12595535950130474;0.15153687852166092;0.13179262880936257;0.12759393640644284;0.13068031828662166;0.13348050539126133;0.1380007920365901;0.14255624889674068
HU;0.08373264609573369;0.0960944132236205;0.08265412926929647;0.07918592818845323;0.07870912896802401;0.07899551113467664;0.08098699112054443;0.08314213744482446
IE;0.19198657911572908;0.2346306583632009;0.19701925848116345;0.19267078729873133;0.19410668585938;0.19759881219471137;0.20207878410621394;0.20667813418885925
IT;0.06215323159233745;0.08416527968095587;0.06139287583049638;0.06314032421531521;0.06318802642425451;0.06295342918192921;0.06386841674251766;0.06477860092551783
LT;0.0945368295019864;0.08096495917722159;0.07879790143156515;0.08123179720138858;0.0829119168941283;0.08518845636168083;0.08958368976716359;0.09382375641098327
LU;0.17282884880975807;0.21125601937709543;0.18341235333387818;0.1767838933210342;0.17272575109296334;0.16965139046344863;0.16879252123952335;0.16810289936402958
LV;0.15942858895244996;0.16257497326829254;0.16060058999729518;0.16406544465585557;0.1716168722522578;0.1781631659696552;0.18655879601750486;0.1953770060744308
NL;0.13554758579512174;0.14984079021214114;0.1355211862411966;0.13021643683436462;0.13486773281816417;0.13645403639424108;0.13705106402921463;0.1382031495680108
NO;0.1939988926362962;;;;0.1945948414698791;;;0.21742985327975037
PL;0.06813199273057982;0.08328549228892744;0.06933317752126193;0.06407930589585493;0.06348230173716195;0.06334047708004452;0.06551478140290189;0.06743481089835808
PT;0.21762256329600307;0.2648995711102422;0.21400615580835938;0.21436466049524663;0.2142690526010808;0.21718797076206972;0.21737882970270905;0.21796368979733283
RO;0.09120318889867418;0.11856368075403242;0.08723614267451911;0.08008943524489337;0.08039503584150591;0.08282900767954199;0.08767130641391116;0.09214088012956757
SE;0.09841393341049808;0.10446170395874646;0.10050055892512012;0.10048063883305013;0.10359909470127754;0.1067714994686612;0.11065975427244816;0.11483996137642183
SI;0.01596723123194752;0.018940173238407607;0.016165909890988085;0.015800514232653686;0.01640676369167122;0.017297899580552546;0.01805499935812696;0.018737863058224256
SK;0.03258029508322405;0.03797787662569428;0.031833913847161166;0.029210404575167895;0.029005738366083934;0.029450629992373897;0.030283327466217883;0.03106228068103182
