,,,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION
2015,AL,ELECTRICITY,1335.442118,1107.375573,1210.978108,0.0
2015,AL,HEAT_HIGH_T,0.0,0.0,1556.387976,0.0
2015,AL,HEAT_LOW_T_SH,3375.845155,1072.59381,418.6573291,0.0
2015,AL,HEAT_LOW_T_HW,1067.461916,907.9802473,179.0056771,0.0
2015,AL,PROCESS_COOLING,0.0,0.0,139.8745612,0.0
2015,AL,SPACE_COOLING,324.1583995,982.4469268,165.2267481,0.0
2015,AL,MOBILITY_PASSENGER,0.0,0.0,0.0,24247.88144
2015,AL,MOBILITY_FREIGHT,0.0,0.0,0.0,3908.141665
2015,AL,AVIATION_LONG_HAUL,0.0,0.0,0.0,1774.407985
2015,AL,SHIPPING,0.0,0.0,0.0,56263.26291
2015,AL,NON_ENERGY,0.0,0.0,581.875243,0.0
2015,AT,ELECTRICITY,13509.454015631092,9965.073408049197,3633.7385184168857,0.0
2015,AT,HEAT_HIGH_T,0.0,0.0,64815.58122602235,0.0
2015,AT,HEAT_LOW_T_SH,53416.07552139797,12524.528300630385,15472.83998213449,0.0
2015,AT,HEAT_LOW_T_HW,8573.911091553977,4057.256938160535,4657.415715946386,0.0
2015,AT,PROCESS_COOLING,0.0,0.0,3825.9790698961297,0.0
2015,AT,SPACE_COOLING,813.7206499871968,2354.9734699006417,582.2031235822193,0.0
2015,AT,MOBILITY_PASSENGER,0.0,0.0,0.0,121452.06817773226
2015,AT,MOBILITY_FREIGHT,0.0,0.0,0.0,64867.48674409824
2015,AT,AVIATION_LONG_HAUL,0.0,0.0,0.0,16921.415495986796
2015,AT,SHIPPING,0.0,0.0,0.0,0.0
2015,AT,NON_ENERGY,0.0,0.0,15785.052235108347,0.0
2015,BA,ELECTRICITY,1978.088764,1906.408237,1250.302412,0.0
2015,BA,HEAT_HIGH_T,0.0,0.0,6125.609058,0.0
2015,BA,HEAT_LOW_T_SH,8156.494870000001,1854.980269,0.0,0.0
2015,BA,HEAT_LOW_T_HW,1799.997601,707.9174628,1456.371454,0.0
2015,BA,PROCESS_COOLING,0.0,0.0,505.01764390000005,0.0
2015,BA,SPACE_COOLING,462.9233896,1216.179921,0.0,0.0
2015,BA,MOBILITY_PASSENGER,0.0,0.0,0.0,18636.32666
2015,BA,MOBILITY_FREIGHT,0.0,0.0,0.0,6192.802988
2015,BA,AVIATION_LONG_HAUL,0.0,0.0,0.0,961.1931386
2015,BA,SHIPPING,0.0,0.0,0.0,0.0
2015,BA,NON_ENERGY,0.0,0.0,455.4864858,0.0
2015,BE,ELECTRICITY,12924.156238699496,16694.03039780373,28905.655698547696,0.0
2015,BE,HEAT_HIGH_T,0.0,0.0,70362.59223703765,0.0
2015,BE,HEAT_LOW_T_SH,63982.72667182968,38047.040263162846,10938.357116028787,0.0
2015,BE,HEAT_LOW_T_HW,13027.999295566715,8796.736858721184,7989.2169633532685,0.0
2015,BE,PROCESS_COOLING,0.0,0.0,9022.388665321592,0.0
2015,BE,SPACE_COOLING,1137.14960898137,3291.00307396789,267.9134823147026,0.0
2015,BE,MOBILITY_PASSENGER,0.0,0.0,0.0,148221.33248081105
2015,BE,MOBILITY_FREIGHT,0.0,0.0,0.0,70194.72396221849
2015,BE,AVIATION_LONG_HAUL,0.0,0.0,0.0,18365.994606366134
2015,BE,SHIPPING,0.0,0.0,0.0,1456763.034650202
2015,BE,NON_ENERGY,0.0,0.0,51450.583333333336,0.0
2015,BG,ELECTRICITY,7070.039929257468,4862.901177771259,7704.9085423905435,0.0
2015,BG,HEAT_HIGH_T,0.0,0.0,12658.274550071827,0.0
2015,BG,HEAT_LOW_T_SH,12306.160657661969,6272.381687282407,4950.72045925446,0.0
2015,BG,HEAT_LOW_T_HW,4371.271720785045,2659.5454223987326,5266.476963950659,0.0
2015,BG,PROCESS_COOLING,0.0,0.0,1614.2264458542336,0.0
2015,BG,SPACE_COOLING,461.7432790992472,1336.322449480376,435.9750110295202,0.0
2015,BG,MOBILITY_PASSENGER,0.0,0.0,0.0,80145.79077760481
2015,BG,MOBILITY_FREIGHT,0.0,0.0,0.0,20739.739511815824
2015,BG,AVIATION_LONG_HAUL,0.0,0.0,0.0,2054.92431108865
2015,BG,SHIPPING,0.0,0.0,0.0,87562.42212659199
2015,BG,NON_ENERGY,0.0,0.0,4490.667390665918,0.0
2015,CH,ELECTRICITY,11936.97854,20104.87019,12056.92291,0.0
2015,CH,HEAT_HIGH_T,0.0,0.0,19587.86562,0.0
2015,CH,HEAT_LOW_T_SH,26747.17704,15473.86776,5095.46076,0.0
2015,CH,HEAT_LOW_T_HW,7364.951362,3434.2993,1320.206284,0.0
2015,CH,PROCESS_COOLING,0.0,0.0,1156.246118,0.0
2015,CH,SPACE_COOLING,407.4565582,2909.534569,191.7290442,0.0
2015,CH,MOBILITY_PASSENGER,0.0,0.0,0.0,125897.3385
2015,CH,MOBILITY_FREIGHT,0.0,0.0,0.0,25822.89995
2015,CH,AVIATION_LONG_HAUL,0.0,0.0,0.0,24326.193977287658
2015,CH,SHIPPING,0.0,0.0,0.0,0.0
2015,CH,NON_ENERGY,0.0,0.0,3841.13898,0.0
2015,CZ,ELECTRICITY,9226.582111985223,10494.234618851406,4606.305868963326,0.0
2015,CZ,HEAT_HIGH_T,0.0,0.0,48659.86773216832,0.0
2015,CZ,HEAT_LOW_T_SH,56353.81879860994,25478.79020319489,13020.17175557073,0.0
2015,CZ,HEAT_LOW_T_HW,8272.3972665623,4846.884096655929,6638.375490373581,0.0
2015,CZ,PROCESS_COOLING,0.0,0.0,4194.535999309158,0.0
2015,CZ,SPACE_COOLING,349.8348312756598,1012.4503372432647,652.9603788111833,0.0
2015,CZ,MOBILITY_PASSENGER,0.0,0.0,0.0,114509.2232177955
2015,CZ,MOBILITY_FREIGHT,0.0,0.0,0.0,59852.637253227964
2015,CZ,AVIATION_LONG_HAUL,0.0,0.0,0.0,8105.809087743184
2015,CZ,SHIPPING,0.0,0.0,0.0,0.0
2015,CZ,NON_ENERGY,0.0,0.0,20006.04517546933,0.0
2015,DE,ELECTRICITY,113091.20956505423,93669.1066237181,134751.27494984923,0.0
2015,DE,HEAT_HIGH_T,0.0,0.0,353720.2706599404,0.0
2015,DE,HEAT_LOW_T_SH,404508.1927245338,255998.20121198747,60835.942799234865,0.0
2015,DE,HEAT_LOW_T_HW,79733.62897135972,51346.44123581478,58354.97006876771,0.0
2015,DE,PROCESS_COOLING,0.0,0.0,35254.68062888533,0.0
2015,DE,SPACE_COOLING,8002.812325198403,23160.787071991646,1985.3543810598026,0.0
2015,DE,MOBILITY_PASSENGER,0.0,0.0,0.0,1191779.6757408562
2015,DE,MOBILITY_FREIGHT,0.0,0.0,0.0,615312.7948118624
2015,DE,AVIATION_LONG_HAUL,0.0,0.0,0.0,165482.16721172215
2015,DE,SHIPPING,0.0,0.0,0.0,1771321.8813875408
2015,DE,NON_ENERGY,0.0,0.0,150344.0740272775,0.0
2015,DK,ELECTRICITY,10048.68573684798,12443.848106669448,5052.5700540546,0.0
2015,DK,HEAT_HIGH_T,0.0,0.0,12195.518152541588,0.0
2015,DK,HEAT_LOW_T_SH,32698.580468722048,12569.153197091222,2664.722756834586,0.0
2015,DK,HEAT_LOW_T_HW,4139.619282585971,3220.0095540691927,3555.839941337364,0.0
2015,DK,PROCESS_COOLING,0.0,0.0,2421.035123950798,0.0
2015,DK,SPACE_COOLING,677.174106083272,1959.7967119980053,30.692226325352898,0.0
2015,DK,MOBILITY_PASSENGER,0.0,0.0,0.0,86667.86624847176
2015,DK,MOBILITY_FREIGHT,0.0,0.0,0.0,24613.920732672308
2015,DK,AVIATION_LONG_HAUL,0.0,0.0,0.0,15234.642789026713
2015,DK,SHIPPING,0.0,0.0,0.0,119045.4348801184
2015,DK,NON_ENERGY,0.0,0.0,1832.5406241902317,0.0
2015,EE,ELECTRICITY,1507.689825981456,2165.6608617890374,1403.661402060133,0.0
2015,EE,HEAT_HIGH_T,0.0,0.0,3198.922652734822,0.0
2015,EE,HEAT_LOW_T_SH,6275.631219991728,4653.207068753873,856.8478433286017,0.0
2015,EE,HEAT_LOW_T_HW,781.385357059597,677.2797347556519,460.6883873449016,0.0
2015,EE,PROCESS_COOLING,0.0,0.0,317.7012185247675,0.0
2015,EE,SPACE_COOLING,10.679449281427392,30.907191222573356,28.29910733858965,0.0
2015,EE,MOBILITY_PASSENGER,0.0,0.0,0.0,18173.187956139347
2015,EE,MOBILITY_FREIGHT,0.0,0.0,0.0,6103.886097072826
2015,EE,AVIATION_LONG_HAUL,0.0,0.0,0.0,655.6804118360433
2015,EE,SHIPPING,0.0,0.0,0.0,107410.5710019044
2015,EE,NON_ENERGY,0.0,0.0,468.8907339805392,0.0
2015,GR,ELECTRICITY,11191.15569233033,8861.427124728092,12578.958365742252,0.0
2015,GR,HEAT_HIGH_T,0.0,0.0,16166.881467678448,0.0
2015,GR,HEAT_LOW_T_SH,28289.96345418707,8583.09693729603,4348.776491005955,0.0
2015,GR,HEAT_LOW_T_HW,8945.451344479836,7265.828316164216,1859.410140112064,0.0
2015,GR,PROCESS_COOLING,0.0,0.0,1452.938155323277,0.0
2015,GR,SPACE_COOLING,2716.4839778765877,7861.724658714486,1716.2824107887745,0.0
