,,NUCLEAR,PV_ROOFTOP,PV_UTILITY,PT_POWER_BLOCK,ST_POWER_BLOCK,PT_COLLECTOR,ST_COLLECTOR,WIND_ONSHORE,WIND_OFFSHORE,HYDRO_DAM,HYDRO_RIVER,TIDAL_STREAM,TIDAL_RANGE,WAVE,GEOTHERMAL,DHN_DEEP_GEO,DHN_SOLAR,DEC_SOLAR,DAM_STORAGE,PHS
f_min,IE,0,0.135272,0.0,0.0,0.0,0.0,0.0,4.339041,0.0,0.001,0.216,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,1.8
f_min,IT,0,22.594257000000002,0.0,0.0,0.0,0.0,0.0,11.253733,0.0,5.528239999999999,5.90196,0.0,0.0,0,0.77179,0.0,0.0,0.0,0.001,401.195
f_min,LT,0,0.255,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.101,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,10.8
f_min,LU,0,0.277161,0.0,0.0,0.0,0.0,0.0,0.13644399999999998,0.0,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,LV,0,0.007155,0.0,0.0,0.0,0.0,0.0,0.077129,0.0,0.884,0.6421,0.0,0.0,0,0.0,0.0,0.0,0.0,46.33,0.001
f_min,ME,0,0.00257,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.36296100000000003,0.31236,0.0,0.0,0,0.0,0.0,0.0,0.0,2.894,0.001
f_min,MK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.0,0.533,0.0416,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,NL,0,14.910686,0.0,0.0,0.0,0.0,0.0,5.214305,2.4595,0.001,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0.001
f_min,NO,0,0.20532599999999998,0.0,0.0,0.0,0.0,0.0,5.049,0.0,31.60883,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,40085.13841000001,4952.9217
f_min,PL,0,7.415518,0.0,0.0,0.0,0.0,0.0,6.967339,0.0,0.41250636942675156,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6,15.69
f_min,PT,0,1.645994,0.0,0.0,0.0,0.0,0.0,5.4023270000000005,0.024999,1.3304,1.6155,0.0,0.0,0,0.0291,0.0,0.0,0.0,1097.26,453.38
f_min,RO,0,1.393922,0.0,0.0,0.0,0.0,0.0,3.014958,0.0,5.303480127388535,0.8704500000000001,0.0,0.0,0,5e-05,0.0,0.0,0.0,0.001,0.001
f_min,RS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.0,1.8753,0.311,0.0,0.0,0,0.0,0.0,0.0,0.0,646.35,0.001
f_min,SE,0,1.606,0.0,0.0,0.0,0.0,0.0,11.923,0.193,11.645763516863035,1.995,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,72.12
