;;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION
GR;HEAT_LOW_T_SH;9.071447632;5.287841024;3.044884152;0
GR;HEAT_LOW_T_HW;2.86149327;2.191320357;1.301903761;0
GR;PROCESS_COOLING;0;0;1.017304148;0
GR;SPACE_COOLING;7.544369113;9.583412646;1.201689975;0
GR;MOBILITY_PASSENGER;0;0;0;104.5758389
GR;MOBILITY_FREIGHT;0;0;0;25.18138539
GR;AVIATION_LONG_HAUL;0;0;0;11.46408971
GR;SHIPPING;0;0;0;275.6453484
GR;NON_ENERGY;0;0;3.862700486;0
ES;ELECTRICITY;40.20795737;51.51805599;21.64609179;0
ES;HEAT_HIGH_T;0;0;99.74019666;0
ES;HEAT_LOW_T_SH;55.47855718;24.91206109;17.54452859;0
ES;HEAT_LOW_T_HW;14.57924582;21.28357964;2.431195789;0
ES;PROCESS_COOLING;0;0;8.861705164;0
ES;SPACE_COOLING;28.81995103;64.03584786;8.008491918;0
ES;MOBILITY_PASSENGER;0;0;0;543.0490326
ES;MOBILITY_FREIGHT;0;0;0;250.8673012
ES;AVIATION_LONG_HAUL;0;0;0;59.53156
ES;SHIPPING;0;0;0;912.9079811
ES;NON_ENERGY;0;0;31.08537192;0
FI;ELECTRICITY;5.447089993;7.54399683;16.85311963;0
FI;HEAT_HIGH_T;0;0;43.03828108;0
FI;HEAT_LOW_T_SH;16.91455107;5.949251489;15.90847409;0
FI;HEAT_LOW_T_HW;3.003945055;4.412218771;6.568909745;0
FI;PROCESS_COOLING;0;0;2.703097214;0
FI;SPACE_COOLING;1.082570834;1.346242539;0.373926167;0
FI;MOBILITY_PASSENGER;0;0;0;58.22087111
FI;MOBILITY_FREIGHT;0;0;0;39.39171767
FI;AVIATION_LONG_HAUL;0;0;0;6.527477812
FI;SHIPPING;0;0;0;89.13576239
FI;NON_ENERGY;0;0;8.214851188;0
FR;ELECTRICITY;64.71932684;73.32629588;68.25243091;0
FR;HEAT_HIGH_T;0;0;114.6042385;0
FR;HEAT_LOW_T_SH;111.5348086;49.24136513;23.46947445;0
FR;HEAT_LOW_T_HW;20.41361092;30.05208773;8.298212981;0
FR;PROCESS_COOLING;0;0;13.8645072;0
FR;SPACE_COOLING;15.51072618;38.78102549;2.908921799;0
FR;MOBILITY_PASSENGER;0;0;0;743.1793297
FR;MOBILITY_FREIGHT;0;0;0;305.8943727
FR;AVIATION_LONG_HAUL;0;0;0;81.99766725
FR;SHIPPING;0;0;0;668.4642532
FR;NON_ENERGY;0;0;74.92978326;0
HR;ELECTRICITY;3.222012898;3.256999939;1.120453;0
HR;HEAT_HIGH_T;0;0;5.489437575;0
HR;HEAT_LOW_T_SH;4.845335573;1.669279316;0;0
HR;HEAT_LOW_T_HW;0.989291293;1.37271479;1.305120862;0
HR;PROCESS_COOLING;0;0;0.452569338;0
HR;SPACE_COOLING;1.383833009;1.525488294;0;0
HR;MOBILITY_PASSENGER;0;0;0;37.09305271
HR;MOBILITY_FREIGHT;0;0;0;12.35941694
HR;AVIATION_LONG_HAUL;0;0;0;4.092610857
HR;SHIPPING;0;0;0;163.6010191
HR;NON_ENERGY;0;0;2.523954279;0
HU;ELECTRICITY;8.04865204;9.221971133;16.15099102;0
HU;HEAT_HIGH_T;0;0;12.24679768;0
HU;HEAT_LOW_T_SH;17.17619465;5.456348172;3.054340905;0
HU;HEAT_LOW_T_HW;3.548947681;4.190099106;3.349584303;0
HU;PROCESS_COOLING;0;0;1.243545561;0
HU;SPACE_COOLING;2.992042852;2.508194785;0.141874535;0
HU;MOBILITY_PASSENGER;0;0;0;101.3587841
HU;MOBILITY_FREIGHT;0;0;0;37.41672621
HU;AVIATION_LONG_HAUL;0;0;0;11.18328178
HU;SHIPPING;0;0;0;0
HU;NON_ENERGY;0;0;10.43776824;0
IE;ELECTRICITY;5.413360277;6.337833636;3.955161521;0
IE;HEAT_HIGH_T;0;0;8.560249244;0
IE;HEAT_LOW_T_SH;14.78483062;4.318572709;2.402394567;0
IE;HEAT_LOW_T_HW;2.475737506;2.208782282;0.95442771;0
IE;PROCESS_COOLING;0;0;1.412386292;0
IE;SPACE_COOLING;0.926151637;0.864659086;0.040855264;0
IE;MOBILITY_PASSENGER;0;0;0;67.93285578
IE;MOBILITY_FREIGHT;0;0;0;12.91918043
IE;AVIATION_LONG_HAUL;0;0;0;9.8
