,,WOOD,WET_BIOMASS,ENERGY_CROPS_2,BIOWASTE,BIOMASS_RESIDUES,WASTE
avail_local,AL,2117.3355555555554,226.0589920407228,0.0,224.58638888888888,123.80555555555554,3256.4
avail_local,AT,36907.86194444444,335.3960630798451,0.0,1642.6191666666666,4033.8888888888887,9524.97
avail_local,BA,6164.459444444445,210.07861111111112,0.0,411.7419444444444,238.33333333333331,3256.4
avail_local,BE,7506.552777777777,3932.073188990497,0.0,8105.311111111111,978.0555555555555,17828.79
avail_local,BG,11079.999722222223,854.2590994760225,0.0,728.0719444444444,3516.388888888889,8548.05
avail_local,CH,14648.221666666665,574.4758476281553,0.0,5898.469444444445,0.0,11142.0
avail_local,CZ,23562.004999999997,9680.44317119253,0.0,806.8402777777777,6305.555555555556,12478.99
avail_local,DE,111181.0411111111,13299.13424896566,0.0,21210.441666666666,34593.88888888889,62197.24
avail_local,DK,6110.691666666667,8723.006726867625,0.0,5455.355555555555,2732.222222222222,6175.53
avail_local,EE,12087.023888888889,1808.9809800337364,0.0,711.4413888888889,1156.2347222222222,755.95
avail_local,GR,4683.291666666667,901.1441337935569,0.0,648.6716666666666,1623.3333333333335,9927.368
avail_local,ES,32629.902499999997,20920.676167825524,0.0,6265.425,9579.166666666666,38204.55
avail_local,FI,63278.61361111111,531.6239655264014,0.0,2768.668611111111,3319.9972222222223,11095.02
avail_local,FR,109115.44138888888,15541.529322813938,0.0,18386.155555555557,28690.555555555555,57777.84
avail_local,HR,7314.741111111111,662.3665781085011,0.0,17.963333333333335,765.8333333333334,3256.4
avail_local,HU,15763.970555555556,15278.012581767709,0.0,1955.5025,6322.777777777777,10339.07
avail_local,IE,7410.042222222222,1118.3980888105245,0.0,478.19555555555553,33.648611111111116,6536.06
avail_local,IT,38084.19416666667,15318.323657515324,0.0,7080.133333333333,6740.0,52695.53
avail_local,LT,11071.773333333333,4233.51577876065,0.0,310.0638888888889,3239.5555555555557,2709.79
avail_local,LU,918.6080555555556,0.003876702594651312,0.0,33.13194444444444,23.128055555555555,1782.879
avail_local,LV,21845.990555555556,1790.3243862690017,0.0,173.27472222222224,1243.6716666666666,569.87
avail_local,ME,709.5755555555555,45.01305555555555,0.0,0.0,36.17944444444444,3256.4
avail_local,MK,1952.1413888888887,139.75268719409746,0.0,245.10277777777776,206.1027777777778,3256.4
avail_local,NL,2565.965277777778,7174.104455634584,0.0,10357.669444444444,966.6666666666666,12746.48
avail_local,NO,24578.041666666668,65.16083496038624,0.0,5553.794444444444,862.7244444444444,15305.08
avail_local,PL,64606.04222222222,20221.154802130444,0.0,5649.569444444444,11311.666666666666,51241.78
avail_local,PT,16017.059444444445,3544.785767603716,0.0,2689.670833333333,703.8888888888888,17386.85
avail_local,RO,43346.62777777777,4271.491731250706,0.0,1871.5538888888887,8454.166666666666,15153.89
avail_local,RS,7923.01,2498.728046473944,0.0,3474.072222222222,3843.611111111111,3256.4
avail_local,SE,106282.98972222222,1638.1574869005638,0.0,6412.711111111111,2970.738888888889,15305.08
avail_local,SI,10967.814999999999,228.4782548197292,0.0,212.18138888888888,135.15722222222223,3256.4
avail_local,SK,11791.95611111111,2580.7558543688033,0.0,832.8136111111111,2017.0869444444443,5338.17
avail_local,GB,20562.54594388859,19873.185547121444,0.0,4669.858333333333,9888.333333333332,89969.68
c_op_local,AL,0.007936218020749388,0.014305943273991721,0.015518987279258255,0.00030551030409692954,0.014810303942888615,0.0062602
c_op_local,AT,0.024170314515235415,0.061813683750190786,0.024516408272318855,0.00043633605660526437,0.017640923956947035,0.00610523
c_op_local,BA,0.00787853882892479,0.014236708851522758,0.017942226965344383,5.761681652020428e-05,0.013743498935853431,0.0062602
c_op_local,BE,0.02176258321846052,0.034236282736190365,0.026533910997134074,0.0001403576770307051,0.012778508462156604,0.01002601
c_op_local,BG,0.010552494516829332,0.012519127953978993,0.014181860395510856,1.6648153180634518e-07,0.00882149377189518,0.0054295
c_op_local,CH,0.022992608406337923,0.03195879405581115,0.0,0.00043633605660526437,0.0,0.023080857
c_op_local,CZ,0.02315385694639416,0.013844545778148932,0.015432736701088192,5.963390855501616e-07,0.013485457350699911,0.00654747
