;;Category;Subcategory;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
ELECTRICITY;SE;Electricity;baseload;13571.87;9755.62;22247.35;0.0;[GWh]. 
ELECTRICITY;SI;Electricity;baseload;654.32;699.48;2015.68;0.0;[GWh]. 
ELECTRICITY;SK;Electricity;baseload;3146.78;6425.35;9962.35;0.0;[GWh]. 
ELECTRICITY;GB;Electricity;baseload;25147.25;27933.57;45052.4;0.0;[GWh]. 
ELECTRICITY_VAR;AL;Electricity;variable;1878.29;2752.04;3512.73;0.0;[GWh]
ELECTRICITY_VAR;AT;Electricity;variable;10110.22;9463.76;25521.24;0.0;[GWh]
ELECTRICITY_VAR;BA;Electricity;variable;1878.29;2752.04;3512.73;0.0;[GWh]
ELECTRICITY_VAR;BE;Electricity;variable;5310.8;9820.0;14791.7;0.0;[GWh]
ELECTRICITY_VAR;BG;Electricity;variable;4469.4;3752.3;4130.5;0.0;[GWh]
ELECTRICITY_VAR;CH;Electricity;variable;425.0;3805.0;1264.0;0.0;[GWh]
ELECTRICITY_VAR;CZ;Electricity;variable;4508.52;7222.28;16695.2;0.0;[GWh]
ELECTRICITY_VAR;DE;Electricity;variable;57297.36;73306.15;177998.77;0.0;[GWh]
ELECTRICITY_VAR;DK;Electricity;variable;3614.16;5078.46;6221.88;0.0;[GWh]
ELECTRICITY_VAR;EE;Electricity;variable;848.01;1209.57;1619.18;0.0;[GWh]
ELECTRICITY_VAR;GR;Electricity;variable;6909.22;7428.49;6699.75;0.0;[GWh]
ELECTRICITY_VAR;ES;Electricity;variable;44560.96;53764.18;98469.36;0.0;[GWh]
ELECTRICITY_VAR;FI;Electricity;variable;7117.87;5732.57;16973.23;0.0;[GWh]
ELECTRICITY_VAR;FR;Electricity;variable;68219.22;70279.57;88517.33;0.0;[GWh]
ELECTRICITY_VAR;HR;Electricity;variable;1878.29;2752.04;3512.73;0.0;[GWh]
ELECTRICITY_VAR;HU;Electricity;variable;3464.69;4406.94;10374.8;0.0;[GWh]
ELECTRICITY_VAR;IE;Electricity;variable;0.0;0.0;0.0;0.0;[GWh]
ELECTRICITY_VAR;IT;Electricity;variable;34111.02;64867.04;126267.46;0.0;[GWh]
ELECTRICITY_VAR;LT;Electricity;variable;1463.22;1667.31;2899.17;0.0;[GWh]
ELECTRICITY_VAR;LU;Electricity;variable;538.71;1748.13;3303.32;0.0;[GWh]
ELECTRICITY_VAR;LV;Electricity;variable;951.7;1246.63;1787.85;0.0;[GWh]
ELECTRICITY_VAR;ME;Electricity;variable;1878.29;2752.04;3512.73;0.0;[GWh]
