;;Category;Subcategory;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
MOBILITY_FREIGHT;LU;Mobility;freight;0.0;0.0;0.0;5000.0;[Mtkm]
MOBILITY_FREIGHT;LV;Mobility;freight;0.0;0.0;0.0;35000.0;[Mtkm]
MOBILITY_FREIGHT;ME;Mobility;freight;0.0;0.0;0.0;17000.0;[Mtkm]
MOBILITY_FREIGHT;MK;Mobility;freight;0.0;0.0;0.0;17000.0;[Mtkm]
MOBILITY_FREIGHT;NL;Mobility;freight;0.0;0.0;0.0;138000.0;[Mtkm]
MOBILITY_FREIGHT;NO;Mobility;freight;0.0;0.0;0.0;111000.0;[Mtkm]
MOBILITY_FREIGHT;PL;Mobility;freight;0.0;0.0;0.0;308000.0;[Mtkm]
MOBILITY_FREIGHT;PT;Mobility;freight;0.0;0.0;0.0;36000.0;[Mtkm]
MOBILITY_FREIGHT;RO;Mobility;freight;0.0;0.0;0.0;82000.0;[Mtkm]
MOBILITY_FREIGHT;RS;Mobility;freight;0.0;0.0;0.0;17000.0;[Mtkm]
MOBILITY_FREIGHT;SE;Mobility;freight;0.0;0.0;0.0;111000.0;[Mtkm]
MOBILITY_FREIGHT;SI;Mobility;freight;0.0;0.0;0.0;22000.0;[Mtkm]
MOBILITY_FREIGHT;SK;Mobility;freight;0.0;0.0;0.0;34000.0;[Mtkm]
MOBILITY_FREIGHT;GB;Mobility;freight;0.0;0.0;0.0;288000.0;[Mtkm]
NON_ENERGY;AL;Non energy;Non energy;0.0;0.0;3344.231552380953;0.0;[GWh]
NON_ENERGY;AT;Non energy;Non energy;0.0;0.0;14747.216033333336;0.0;[GWh]
NON_ENERGY;BA;Non energy;Non energy;0.0;0.0;3344.231552380953;0.0;[GWh]
NON_ENERGY;BE;Non energy;Non energy;0.0;0.0;53115.33108;0.0;[GWh]
NON_ENERGY;BG;Non energy;Non energy;0.0;0.0;3935.81041904762;0.0;[GWh]
NON_ENERGY;CH;Non energy;Non energy;0.0;0.0;5460.012857;0.0;[GWh]
NON_ENERGY;CZ;Non energy;Non energy;0.0;0.0;17379.13833809524;0.0;[GWh]
NON_ENERGY;DE;Non energy;Non energy;0.0;0.0;162080.53642857145;0.0;[GWh]
NON_ENERGY;DK;Non energy;Non energy;0.0;0.0;2155.0373;0.0;[GWh]
NON_ENERGY;EE;Non energy;Non energy;0.0;0.0;1907.54001904762;0.0;[GWh]
NON_ENERGY;GR;Non energy;Non energy;0.0;0.0;5300.063723809524;0.0;[GWh]
NON_ENERGY;ES;Non energy;Non energy;0.0;0.0;40148.88818571429;0.0;[GWh]
NON_ENERGY;FI;Non energy;Non energy;0.0;0.0;7708.634823809525;0.0;[GWh]
NON_ENERGY;FR;Non energy;Non energy;0.0;0.0;91429.0;0.0;[GWh]
NON_ENERGY;HR;Non energy;Non energy;0.0;0.0;3344.231552380953;0.0;[GWh]
NON_ENERGY;HU;Non energy;Non energy;0.0;0.0;20596.6029904762;0.0;[GWh]
NON_ENERGY;IE;Non energy;Non energy;0.0;0.0;2861.310028571429;0.0;[GWh]
NON_ENERGY;IT;Non energy;Non energy;0.0;0.0;45750.77786190477;0.0;[GWh]
NON_ENERGY;LT;Non energy;Non energy;0.0;0.0;4515.316247619048;0.0;[GWh]
NON_ENERGY;LU;Non energy;Non energy;0.0;0.0;301.8259523809524;0.0;[GWh]
NON_ENERGY;LV;Non energy;Non energy;0.0;0.0;917.5508952380952;0.0;[GWh]
NON_ENERGY;ME;Non energy;Non energy;0.0;0.0;3344.231552380953;0.0;[GWh]
NON_ENERGY;MK;Non energy;Non energy;0.0;0.0;3344.231552380953;0.0;[GWh]
NON_ENERGY;NL;Non energy;Non energy;0.0;0.0;94079.14935714286;0.0;[GWh]
NON_ENERGY;NO;Non energy;Non energy;0.0;0.0;15405.196609523811;0.0;[GWh]
NON_ENERGY;PL;Non energy;Non energy;0.0;0.0;47229.72502857143;0.0;[GWh]
NON_ENERGY;PT;Non energy;Non energy;0.0;0.0;9362.641042857143;0.0;[GWh]
NON_ENERGY;RO;Non energy;Non energy;0.0;0.0;15000.749833333335;0.0;[GWh]
NON_ENERGY;RS;Non energy;Non energy;0.0;0.0;3344.231552380953;0.0;[GWh]
NON_ENERGY;SE;Non energy;Non energy;0.0;0.0;15405.196609523811;0.0;[GWh]
NON_ENERGY;SI;Non energy;Non energy;0.0;0.0;790.7839952380954;0.0;[GWh]
NON_ENERGY;SK;Non energy;Non energy;0.0;0.0;12954.369876190478;0.0;[GWh]
NON_ENERGY;GB;Non energy;Non energy;0.0;0.0;54383.000100000005;0.0;[GWh]
