param :,storage_availability,storage_losses
DAM_STORAGE,1,0
PHS,1,0
BATT_LI,1,0.0002
BEV_BATT,0.2,0.0002
PHEV_BATT,0.2,0.0002
TS_DEC_DIRECT_ELEC,1,0.00824
TS_DEC_HP_ELEC,1,0.00824
TS_DEC_THHP_GAS,1,0.00824
TS_DEC_COGEN_GAS,1,0.00824
TS_DEC_COGEN_OIL,1,0.00824
TS_DEC_ADVCOGEN_GAS,1,0.00824
TS_DEC_ADVCOGEN_H2,1,0.00824
TS_DEC_BOILER_GAS,1,0.00824
TS_DEC_BOILER_WOOD,1,0.00824
TS_DEC_BOILER_OIL,1,0.00824
TS_DHN_DAILY,1,0.00833
TS_DHN_SEASONAL  ,1,0.0000606
TS_HIGH_TEMP,1,0.000355
GAS_STORAGE,1,0
H2_STORAGE,1,0
DIESEL_STORAGE,1,0
JET_FUEL_STORAGE,1,0
GASOLINE_STORAGE,1,0
LFO_STORAGE,1,0
AMMONIA_STORAGE,1,0
METHANOL_STORAGE,1,0
CO2_STORAGE ,1,0
PT_STORAGE,1,0.000355
ST_STORAGE,1,0.000355
TS_COLD,1,0.00824
CAES,1,0.0208
