#;ntc;of;2030;(MAF2020;ENTSOE);;
[*,*,ELECTRICITY]:;AT-CH-IT;BE-DE-LU-NL;DK-SE;ES-PT;FR;IE-UK;:=
AT-CH-IT;0;12.1;0;0;7.55;0;
BE-DE-LU-NL;12.1;0;6.5;0;9.48;3.4;
DK-SE;0;6.5;0;0;0;1.4;
ES-PT;0;0;0;0;5;0;
FR;7.55;9.48;0;5;0;6.1;
IE-UK;0;3.4;1.4;0;6.1;0;
# ENTSOG TYNDP2020 year 2020 values in GWh/d divided by 24h/d, (Norway-other connection considered as SE with other);;;;;;;
[*,*,GAS]:;AT-CH-IT;BE-DE-LU-NL;DK-SE;ES-PT;FR;IE-UK;:=
AT-CH-IT;0;29.193;0;0;10.85;0;
BE-DE-LU-NL;30.021;0;132.923;0;11.25;27.154;
DK-SE;0;6.938;0;0;0;0;
ES-PT;0;0;0;0;6.875;0;
FR;4.167;61.25;23.75;9.35;0;0;
IE-UK;0;54.058;62.463;0;0;0;
[*,*,WOOD]:;ES-PT;FR;IE-UK;BE-DE-LU-NL;AT-CH-IT;DK-SE;:=
ES-PT;0;Infinity;0;0;0;0;
FR;Infinity;0;Infinity;Infinity;Infinity;0;
IE-UK;0;Infinity;0;Infinity;0;0;
BE-DE-LU-NL;0;Infinity;Infinity;0;Infinity;Infinity;
AT-CH-IT;0;Infinity;0;Infinity;0;0;
DK-SE;0;0;0;Infinity;0;0;
[*,*,WASTE]:ES-PT FR IE-UK BE-DE-LU-NL AT-CH-IT DK-SE :=;;;;;;;
ES-PT;0;Infinity;0;0;0;0;
FR;Infinity;0;Infinity;Infinity;Infinity;0;
IE-UK;0;Infinity;0;Infinity;0;0;
BE-DE-LU-NL;0;Infinity;Infinity;0;Infinity;Infinity;
AT-CH-IT;0;Infinity;0;Infinity;0;0;
DK-SE;0;0;0;Infinity;0;0;
[*,*,H2]:;ES-PT FR IE-UK BE-DE-LU-NL AT-CH-IT DK-SE  :=;;;;;;
ES-PT;0;0;0;0;0;0;
FR;0;0;0;0;0;0;
IE-UK;0;0;0;0;0;0;
BE-DE-LU-NL;0;0;0;0;0;0;
AT-CH-IT;0;0;0;0;0;0;
DK-SE;0;0;0;0;0;0;
[*,*,AMMONIA]: ES-PT FR IE-UK BE-DE-LU-NL AT-CH-IT DK-SE :=;;;;;;;
ES-PT;0;Infinity;0;0;0;0;
FR;Infinity;0;Infinity;Infinity;Infinity;0;
IE-UK;0;Infinity;0;Infinity;0;0;
BE-DE-LU-NL;0;Infinity;Infinity;0;Infinity;Infinity;
AT-CH-IT;0;Infinity;0;Infinity;0;0;
DK-SE;0;0;0;Infinity;0;0;
[*,*,METHANOL]: ES-PT FR IE-UK BE-DE-LU-NL AT-CH-IT DK-SE :=;;;;;;;
ES-PT;0;Infinity;0;0;0;0;
FR;Infinity;0;Infinity;Infinity;Infinity;0;
IE-UK;0;Infinity;0;Infinity;0;0;
BE-DE-LU-NL;0;Infinity;Infinity;0;Infinity;Infinity;
AT-CH-IT;0;Infinity;0;Infinity;0;0;
DK-SE;0;0;0;Infinity;0;0;
[*,*,CO2_CAPTURED]: ES-PT FR IE-UK BE-DE-LU-NL AT-CH-IT DK-SE :=;;;;;;;
ES-PT;0;Infinity;0;0;0;0;
FR;Infinity;0;Infinity;Infinity;Infinity;0;
IE-UK;0;Infinity;0;Infinity;0;0;
BE-DE-LU-NL;0;Infinity;Infinity;0;Infinity;Infinity;
AT-CH-IT;0;Infinity;0;Infinity;0;0;
DK-SE;0;0;0;Infinity;0;0;
";";;;;;;;
