;ES;FR;GR;IT;PT
2015-01-01 00:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 01:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 02:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 03:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 04:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 05:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 06:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 07:00:00+00:00;0.0;0.0;0.12822739606966732;0.0;0.0
2015-01-01 08:00:00+00:00;0.0;0.2550848382404861;0.17133591692846425;0.0;0.0
2015-01-01 09:00:00+00:00;0.46328805285857655;0.3951260576960954;0.0;0.0;0.46373220104495533
2015-01-01 10:00:00+00:00;0.5097794634348397;0.3818493020128699;0.011306583593801158;0.0;0.5097890280492716
2015-01-01 11:00:00+00:00;0.4992975021371416;0.32979663869583437;0.0;0.0;0.49746909094764696
2015-01-01 12:00:00+00:00;0.48555191401692077;0.3561576797199665;0.287968240118037;0.0;0.48278280159508236
2015-01-01 13:00:00+00:00;0.4791099671014283;0.39732671624220023;0.33167017549905203;0.0;0.48570491303291896
2015-01-01 14:00:00+00:00;0.5130222596778066;0.4446990145513243;0.24093563025724524;0.0;0.5149508620740046
2015-01-01 15:00:00+00:00;0.5238985429001186;0.40639632402217873;0.0;0.0;0.5244973665479787
2015-01-01 16:00:00+00:00;0.43176611441449864;0.0;0.0;0.0;0.443522150881368
2015-01-01 17:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 18:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 19:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 20:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 21:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 22:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-01 23:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-02 00:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-02 01:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-02 02:00:00+00:00;0.0;0.0;0.0;0.0;0.0
2015-01-02 03:00:00+00:00;0.0;0.0;0.0;0.0;0.0
