,avail_local,c_op_local
WOOD,4993.673611111111,0.01775536400422596
WET_BIOMASS,13606.855455275967,0.022539472207302673
ENERGY_CROPS_2,5235.571111111111,0.027998338124680923
BIOWASTE,18872.080555555556,0.00013697180885783593
BIOMASS_RESIDUES,1711.7033333333331,0.01269622340854985
WASTE,12746.48,0.00812027
