Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,12432.445243039028,50073.643827637345,15737.872951297875,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,79056.10009111126,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,62039.27561493461,24616.990960699204,13495.19864812183,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,14472.891256519639,20859.342126583586,13897.950516666851,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,9783.005330489417,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,7719.786225608578,22341.68661554632,265.3809715219024,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,233165.69320113477,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,146783.23644203856,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,101334.78267863594,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,5701760.733619638,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,81197.3441969094,0.0,[GWh]
