unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	AE	AT	425472
PAS	PAS_BRD	AE	BE	525738
PAS	PAS_BRD	AE	BG	83441
PAS	PAS_BRD	AE	CY	176964
PAS	PAS_BRD	AE	CZ	524489
PAS	PAS_BRD	AE	DE	3646142
PAS	PAS_BRD	AE	DK	331494
PAS	PAS_BRD	AE	EE	2629
PAS	PAS_BRD	AE	GR	459447
PAS	PAS_BRD	AE	ES	1368160
PAS	PAS_BRD	AE	EU27_2007	23593423
PAS	PAS_BRD	AE	EU27_2020	16029761
PAS	PAS_BRD	AE	EU28	23734515
PAS	PAS_BRD	AE	FI	135039
PAS	PAS_BRD	AE	FR	2145984
PAS	PAS_BRD	AE	HR	141092
PAS	PAS_BRD	AE	HU	268264
PAS	PAS_BRD	AE	IE	657948
PAS	PAS_BRD	AE	IT	2303275
PAS	PAS_BRD	AE	LT	7614
PAS	PAS_BRD	AE	LU	2641
PAS	PAS_BRD	AE	LV	24963
PAS	PAS_BRD	AE	MT	76259
PAS	PAS_BRD	AE	NL	1356686
PAS	PAS_BRD	AE	PL	396274
PAS	PAS_BRD	AE	PT	417237
PAS	PAS_BRD	AE	RO	214879
PAS	PAS_BRD	AE	SE	303456
PAS	PAS_BRD	AE	SI	: 
PAS	PAS_BRD	AE	SK	34174
PAS	PAS_BRD	AE	UK	7704754
PAS	PAS_BRD	AF	AT	700
PAS	PAS_BRD	AF	BE	4
PAS	PAS_BRD	AF	BG	0
PAS	PAS_BRD	AF	CY	: 
PAS	PAS_BRD	AF	CZ	7
PAS	PAS_BRD	AF	DE	1182
PAS	PAS_BRD	AF	DK	3755
PAS	PAS_BRD	AF	EE	: 
PAS	PAS_BRD	AF	GR	: 
PAS	PAS_BRD	AF	ES	: 
PAS	PAS_BRD	AF	EU27_2007	7140
PAS	PAS_BRD	AF	EU27_2020	7140
PAS	PAS_BRD	AF	EU28	7140
PAS	PAS_BRD	AF	FI	71
PAS	PAS_BRD	AF	FR	0
PAS	PAS_BRD	AF	HR	: 
PAS	PAS_BRD	AF	HU	445
PAS	PAS_BRD	AF	IE	: 
PAS	PAS_BRD	AF	IT	0
PAS	PAS_BRD	AF	LT	: 
PAS	PAS_BRD	AF	LU	0
PAS	PAS_BRD	AF	LV	0
PAS	PAS_BRD	AF	MT	: 
PAS	PAS_BRD	AF	NL	: 
PAS	PAS_BRD	AF	PL	: 
PAS	PAS_BRD	AF	PT	79
PAS	PAS_BRD	AF	RO	: 
PAS	PAS_BRD	AF	SE	801
PAS	PAS_BRD	AF	SI	: 
PAS	PAS_BRD	AF	SK	96
PAS	PAS_BRD	AF	UK	: 
PAS	PAS_BRD	AFR_C	AT	: 
PAS	PAS_BRD	AFR_C	BE	287356
PAS	PAS_BRD	AFR_C	BG	0
PAS	PAS_BRD	AFR_C	CY	: 
PAS	PAS_BRD	AFR_C	CZ	: 
PAS	PAS_BRD	AFR_C	DE	43281
PAS	PAS_BRD	AFR_C	DK	: 
PAS	PAS_BRD	AFR_C	GR	6
PAS	PAS_BRD	AFR_C	ES	37741
PAS	PAS_BRD	AFR_C	EU27_2007	1751086
PAS	PAS_BRD	AFR_C	EU27_2020	1751086
PAS	PAS_BRD	AFR_C	EU28	1751086
PAS	PAS_BRD	AFR_C	FI	: 
PAS	PAS_BRD	AFR_C	FR	699209
PAS	PAS_BRD	AFR_C	HR	: 
PAS	PAS_BRD	AFR_C	HU	: 
PAS	PAS_BRD	AFR_C	IE	: 
PAS	PAS_BRD	AFR_C	IT	223
PAS	PAS_BRD	AFR_C	LT	: 
PAS	PAS_BRD	AFR_C	LU	24
PAS	PAS_BRD	AFR_C	LV	: 
PAS	PAS_BRD	AFR_C	MT	10
PAS	PAS_BRD	AFR_C	NL	32162
PAS	PAS_BRD	AFR_C	PL	244
PAS	PAS_BRD	AFR_C	PT	650830
PAS	PAS_BRD	AFR_C	SE	: 
PAS	PAS_BRD	AFR_C	SI	: 
PAS	PAS_BRD	AFR_C	SK	: 
PAS	PAS_BRD	AFR_C	UK	0
PAS	PAS_BRD	AFR_E	AT	177368
