unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	CZ	SE	304369
PAS	PAS_BRD	CZ	SI	10451
PAS	PAS_BRD	CZ	SK	54585
PAS	PAS_BRD	CZ	UK	2356773
PAS	PAS_BRD	DE	AT	7346435
PAS	PAS_BRD	DE	BE	1826333
PAS	PAS_BRD	DE	BG	2093895
PAS	PAS_BRD	DE	CY	388381
PAS	PAS_BRD	DE	CZ	1168044
PAS	PAS_BRD	DE	DK	3006013
PAS	PAS_BRD	DE	EE	429879
PAS	PAS_BRD	DE	GR	8040582
PAS	PAS_BRD	DE	ES	29105428
PAS	PAS_BRD	DE	EU27_2007	122460187
PAS	PAS_BRD	DE	EU27_2020	110308110
PAS	PAS_BRD	DE	EU28	124825842
PAS	PAS_BRD	DE	FI	2107199
PAS	PAS_BRD	DE	FR	8510619
PAS	PAS_BRD	DE	HR	2365655
PAS	PAS_BRD	DE	HU	2277428
PAS	PAS_BRD	DE	IE	2519159
PAS	PAS_BRD	DE	IT	15219320
PAS	PAS_BRD	DE	LT	558304
PAS	PAS_BRD	DE	LU	596458
PAS	PAS_BRD	DE	LV	965488
PAS	PAS_BRD	DE	MT	896049
PAS	PAS_BRD	DE	NL	4569690
PAS	PAS_BRD	DE	PL	4725314
PAS	PAS_BRD	DE	PT	5201857
PAS	PAS_BRD	DE	RO	2875688
PAS	PAS_BRD	DE	SE	3248983
PAS	PAS_BRD	DE	SI	250661
PAS	PAS_BRD	DE	SK	15248
PAS	PAS_BRD	DE	UK	14517732
PAS	PAS_BRD	DK	AT	563150
PAS	PAS_BRD	DK	BE	707982
PAS	PAS_BRD	DK	BG	145497
PAS	PAS_BRD	DK	CY	107134
PAS	PAS_BRD	DK	CZ	382515
PAS	PAS_BRD	DK	DE	2991477
PAS	PAS_BRD	DK	EE	116675
PAS	PAS_BRD	DK	GR	1002669
PAS	PAS_BRD	DK	ES	3115606
PAS	PAS_BRD	DK	EU27_2007	23071027
PAS	PAS_BRD	DK	EU27_2020	19729090
PAS	PAS_BRD	DK	EU28	23310940
PAS	PAS_BRD	DK	FI	912509
PAS	PAS_BRD	DK	FR	1473633
PAS	PAS_BRD	DK	HR	239913
PAS	PAS_BRD	DK	HU	286545
PAS	PAS_BRD	DK	IE	272796
PAS	PAS_BRD	DK	IT	1510412
PAS	PAS_BRD	DK	LT	353115
PAS	PAS_BRD	DK	LU	80109
PAS	PAS_BRD	DK	LV	275764
PAS	PAS_BRD	DK	MT	83123
PAS	PAS_BRD	DK	NL	1816964
PAS	PAS_BRD	DK	PL	880932
PAS	PAS_BRD	DK	PT	395109
PAS	PAS_BRD	DK	RO	194254
PAS	PAS_BRD	DK	SE	1795166
PAS	PAS_BRD	DK	SI	25997
PAS	PAS_BRD	DK	SK	44
PAS	PAS_BRD	DK	UK	3581850
PAS	PAS_BRD	EE	AT	49668
PAS	PAS_BRD	EE	BE	66324
PAS	PAS_BRD	EE	BG	41481
PAS	PAS_BRD	EE	CY	40867
PAS	PAS_BRD	EE	CZ	506
PAS	PAS_BRD	EE	DE	427033
PAS	PAS_BRD	EE	DK	117052
PAS	PAS_BRD	EE	GR	64453
PAS	PAS_BRD	EE	ES	67489
PAS	PAS_BRD	EE	EU27_2007	2547672
PAS	PAS_BRD	EE	EU27_2020	2325162
PAS	PAS_BRD	EE	EU28	2555219
PAS	PAS_BRD	EE	FI	325872
PAS	PAS_BRD	EE	FR	43838
PAS	PAS_BRD	EE	HR	7547
PAS	PAS_BRD	EE	HU	55
PAS	PAS_BRD	EE	IE	21031
PAS	PAS_BRD	EE	IT	87858
PAS	PAS_BRD	EE	LT	89940
PAS	PAS_BRD	EE	LU	44
PAS	PAS_BRD	EE	LV	289909
PAS	PAS_BRD	EE	MT	17742
PAS	PAS_BRD	EE	NL	81699
PAS	PAS_BRD	EE	PL	191098
PAS	PAS_BRD	EE	PT	3620
PAS	PAS_BRD	EE	RO	: 
PAS	PAS_BRD	EE	SE	289814
