{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;0.00010802517128226043;0.0004921;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.11435577;0.5899;0.72841226;0.34843907;0.03980242134;0.0;0.0
2;0.0001068757433368429;0.00050934;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.11435577;0.5705;0.49094708;0.32460557;0.1752700288;0.0;0.0
3;0.0001060319090473842;0.00051808;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.12282657;0.5279;0.33008357;0.19066801;0.2226835396;0.0;0.0
4;0.00010463775304992432;0.00053349;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.1330807;0.5033;0.27924791;0.13158778;0.1400920526;0.0;0.0
5;0.00010330089586295671;0.00055026;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.15737851;0.525;0.11699164;0.13561598;0.04114659114;0.0;0.0
6;0.00010236259907668243;0.00056561;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.16072225;0.5091;0.10584958;0.13763008;0.001357509724;0.0;0.0
7;0.00010177475700301551;0.00057766;0.0;0.0001821001433304;0.0001141552511415;0.0;0.17053054;0.4669;0.08704735;0.19100369;0.005310054361;0.0;0.0
8;0.00010144410374680519;0.00058824;0.0;0.0001586033506426;0.0001141552511415;0.0;0.16183683;0.4639;0.17339833;0.21215173;0.06873420603;0.0;0.0
9;0.0001015553531842851;0.00055541;0.0;0.0001468549542987;0.0001141552511415;0.0;0.19304503;0.5913;0.29178273;0.17925478;0.09897539339;0.0;0.0
10;0.0001031615608037074;0.00046026;0.0;0.0001644775488145;0.0001141552511415;0.12348668;0.1883638;0.4844;0.26740947;0.25310507;0.06415348561;0.14706343;0.506187204266713
11;0.00010608092369250412;0.00036029;0.0;0.0001879743415023;0.0001141552511415;0.42857143;0.17855551;0.2256;0.18036212;0.25478348;0.02225344274;0.36514029;0.5564605655864081
12;0.0001093095620885363;0.00025144;0.0;0.0002067717756526;0.0001141552511415;0.6125908;0.17320553;0.1883;0.18593315;0.21349446;0.001337349021;0.54452914;0.5430127297359738
13;0.00011223778443196737;0.00015184;0.0;0.0001879743415023;0.0001141552511415;0.67554479;0.1388765;0.212;0.20612813;0.22322927;0.0469762859;0.69884657;0.526981900452014
14;0.0001139026715561107;9.0615e-05;0.0;0.0001903240207711;0.0001141552511415;0.70217918;0.07846634;0.2701;0.204039;0.23162135;0.203356673;0.65694943;0.5301715332097592
15;0.00011371972957080398;6.0568e-05;0.0;0.0002138208134589;0.0001141552511415;0.68523002;0.04859563;0.4128;0.44916435;0.18395435;0.2592494097;0.82425943;0.5620949690804521
16;0.00011263703517977507;7.6773e-05;0.0;0.000223219530534;0.0001141552511415;0.62469734;0.02942488;0.5981;0.30153203;0.16515609;0.1622035522;0.54797229;0.5725154626310653
17;0.00011078575433475322;0.00017027;0.0;0.000223219530534;0.0001141552511415;0.47457627;0.0198395;0.6921;0.32660167;0.11144679;0.04751623795;0.38947629;0.4841269100552171
18;0.00010939907709769895;0.00025574;0.0;0.0001644775488145;0.0001141552511415;0.18159806;0.02541239;0.7171;0.54735376;0.14803625;0.001440178623;0.0;0.0
19;0.00011054885021667368;0.00029849;0.0;0.0001174839634389;0.0001141552511415;0.00484262;0.03722693;0.7385;0.82451253;0.28331655;0.007014863164;0.0;0.0
20;0.00011220315201839673;0.00033449;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.04971021;0.7779;0.86350975;0.33971131;0.08242065298;0.0;0.0
21;0.00011219463773731955;0.00037177;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.06107891;0.81;0.86629526;0.33467607;0.1148944153;0.0;0.0
22;0.00011188225566806945;0.00040158;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.05349978;0.8294;0.86350975;0.3598523;0.07266122051;0.0;0.0
23;0.00011109238351138363;0.000426;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.05037896;0.8531;0.86699164;0.33434038;0.02418982281;0.0;0.0
24;0.00010999081963256205;0.00045194;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.04190816;0.8543;0.61350975;0.3558241;0.001337349021;0.0;0.0
25;0.00010812262528323827;0.00047207;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.03366028;0.8451;0.32590529;0.33232628;0.05288848963;0.0;0.0
26;0.00010624902321485196;0.0004869;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.03232278;0.8416;0.19986072;0.24639141;0.226284986;0.0;0.0
27;0.00010477041475373476;0.00049947;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.04190816;0.8381;0.18871866;0.27660289;0.2891563522;0.0;0.0
28;0.00010361937599838371;0.00051435;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.05439144;0.8279;0.15041783;0.16179926;0.180233168;0.0;0.0
29;0.00010284020422197055;0.00053174;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.06442265;0.8092;0.14554318;0.18395435;0.05270242651;0.0;0.0
30;0.0001023475264980188;0.00054865;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.06754347;0.7906;0.14066852;0.19973145;0.001504335769;0.0;0.0
31;0.00010222648563730016;0.00056405;0.0;0.0001821001433304;0.0001141552511415;0.0;0.07668301;0.8257;0.30083565;0.26586103;0.008508853023;0.0;0.0
32;0.0001026602537408261;0.00057586;0.0;0.0001586033506426;0.0001141552511415;0.0;0.09273295;0.7437;0.2005571;0.32661967;0.09379954546;0.0;0.0
33;0.00010400458968819933;0.0005435;0.0;0.0001468549542987;0.0001141552511415;0.0;0.10499331;0.6327;0.2764624;0.29271568;0.1278934692;0.0;0.0
34;0.00010714958102554095;0.00044136;0.0;0.0001644775488145;0.0001141552511415;0.12590799;0.11234953;0.4786;0.60724234;0.31822759;0.07951341713;0.04047086;0.4824217203861763
35;0.00011085904618672829;0.00035481;0.0;0.0001879743415023;0.0001141552511415;0.43099274;0.1090058;0.3955;0.72632312;0.35683115;0.02571360125;0.07802229;0.5726000541654326
36;0.00011356900378416765;0.00026396;0.0;0.0002067717756526;0.0001141552511415;0.60532688;0.08181008;0.2676;0.76880223;0.36085935;0.001337349021;0.28955829;0.5581593631607753
37;0.00011545480198490773;0.00018723;0.0;0.0001879743415023;0.0001141552511415;0.66828087;0.039679;0.1967;0.76740947;0.38737831;0.05927703221;0.740688;0.5304593363548666
38;0.0001165052801772663;0.00014542;0.0;0.0001903240207711;0.0001141552511415;0.68523002;0.0169416;0.1099;0.67270195;0.38704263;0.2508750333;0.88702714;0.5327675333674511
39;0.00011643969720140166;0.000126;0.0;0.0002138208134589;0.0001141552511415;0.64891041;0.00557289;0.0539;0.43314763;0.38335012;0.3212791765;0.87372257;0.5515465661447226
40;0.00011591618397300827;0.00014013;0.0;0.000223219530534;0.0001141552511415;0.59564165;0.00490415;0.0392;0.44916435;0.40382679;0.1995516441;0.79365;0.5899430592818589
41;0.00011419721965823971;0.00021548;0.0;0.000223219530534;0.0001141552511415;0.45762712;0.00958538;0.0662;0.44707521;0.39711313;0.05825288383;0.60776486;0.482833145200139
42;0.00011295574543090684;0.00028715;0.0;0.0001644775488145;0.0001141552511415;0.17917676;0.02362907;0.1394;0.4505571;0.38100034;0.001570370553;0.0;0.0
43;0.00011402578345817242;0.00032977;0.0;0.0001174839634389;0.0001141552511415;0.00726392;0.0523852;0.2021;0.82033426;0.46894931;0.01020119434;0.0;0.0
44;0.00011543754330704861;0.00036473;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.06107891;0.2676;0.81963788;0.4890903;0.1061803121;0.0;0.0
45;0.00011548816876210203;0.00039383;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.06174766;0.343;0.82103064;0.52165156;0.1418377745;0.0;0.0
46;0.00011479436991216534;0.00041712;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.0523852;0.3854;0.81406685;0.49144008;0.08678340422;0.0;0.0
47;0.00011358050956940706;0.00043985;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.06130183;0.3403;0.54387187;0.48371937;0.02730006362;0.0;0.0
48;0.00011211179608359577;0.00045572;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.06107891;0.2777;0.44011142;0.46962068;0.001337349021;0.0;0.0
49;0.00010997275554973618;0.00047004;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.06353099;0.2854;0.31615599;0.33232628;0.06616036881;0.0;0.0
50;0.00010770462010549034;0.00048241;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.05907267;0.2564;0.1775766;0.19704599;0.2771849502;0.0;0.0
51;0.00010597012298064855;0.00049323;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.05929559;0.3683;0.0954039;0.1849614;0.3556970741;0.0;0.0
52;0.00010465846346335527;0.00050268;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.05818101;0.6544;0.09261838;0.14736489;0.220203476;0.0;0.0
53;0.00010395131790254083;0.00051086;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.05283103;0.8464;0.09261838;0.13729439;0.06417997343;0.0;0.0
