parameter name;avail_local;c_op_local
WOOD;25164.97;0.02508
WET_BIOMASS;6304.36;0.01549
WASTE;17386.85;0.00771797
OTHER_LIGNO;6267.78;0.01999
BIOWASTE;3868.63;0.0000174
BIOMASS_RESIDUES;3786.35;0.01232
