;avail_local;c_op_local
WOOD;69410.16388888888;0.017916479379091733
WET_BIOMASS;32137.2613246203;0.017589037364748525
ENERGY_CROPS_2;37143.51944444444;0.02958591295924541
BIOWASTE;11876.997222222222;0.00022053126444478852
BIOMASS_RESIDUES;20684.930555555555;0.011511327014347511
WASTE;52695.53;0.01191635
