Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,9529.124994267459,14321.331765634484,7389.178808363875,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,59726.191682467084,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,59062.98707572119,11411.29918188904,7781.2228430046525,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,10360.54735097094,4427.4083662807925,6365.298790911306,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,3047.635023265913,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,1864.6143804644055,5396.34504502004,229.28444342257475,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,216485.64081857502,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,77433.59800728563,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,3588.6562955011336,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,295507.7545186317,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,11848.181918859365,0.0,[GWh]
