{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
178;0.00011728997671572843;0.00020351;0.0;0.0001644775488145;0.0001141552511415;0.00137174;0.63010408;0.0;0.46992939;0.11666667;0.0;0.0;0.0001
179;0.00011748097275393534;0.00019765;0.0;0.0001879743415023;0.0001141552511415;0.00857339;0.67253803;0.0;0.45325055;0.125;0.0;0.0;0.0001
180;0.00011827142021326146;0.00018973;0.0;0.0002067717756526;0.0001141552511415;0.010631;0.70056045;0.0;0.4348673;0.125;0.0;0.00317571;0.0001
181;0.00011739237820609238;0.00018133;0.0;0.0001879743415023;0.0001141552511415;0.01200274;0.69975981;0.0;0.39347456;0.125;0.0;0.0;0.0001
182;0.00011681708893438487;0.00017318;0.0;0.0001903240207711;0.0001141552511415;0.01303155;0.71176942;0.0;0.30813246;0.10833333;0.0;0.0;0.0001
183;0.00011649837867785891;0.00016993;0.0;0.0002138208134589;0.0001141552511415;0.00651578;0.71657326;0.0;0.24202581;0.09166667;0.0;0.0;0.0001
184;0.0001158483018008294;0.00017254;0.0;0.000223219530534;0.0001141552511415;0.00685871;0.6797438;0.0;0.19990261;0.10833333;0.0;0.0;0.0001
185;0.00011574590031046547;0.00017246;0.0;0.000223219530534;0.0001141552511415;0.00891632;0.57005604;0.0;0.17725834;0.10833333;0.0;0.0;0.0001
186;0.00011724165241690502;0.00016306;0.0;0.0001644775488145;0.0001141552511415;0.0;0.41152922;0.0;0.40869248;0.1;0.0;0.0;0.0001
187;0.00011777897259667984;0.00016873;0.0;0.0001174839634389;0.0001141552511415;0.0;0.4091273;0.0;0.67275383;0.1;0.0;0.0;0.0001
188;0.00011619692709948416;0.00019118;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.41232986;0.0;0.57061115;0.1;0.0;0.0;0.0001
189;0.00011389346885556727;0.00020512;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.44915933;0.0;0.29583638;0.09166667;0.0;0.0;0.0001
190;0.0001120533485910836;0.00020587;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.49159327;0.0;0.16958851;0.05833333;0.0;0.0;0.0001
191;0.00011407410968688343;0.00020334;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.54843875;0.0;0.21207694;0.05833333;0.0;0.0;0.0001
192;0.00011204000187998;0.00019987;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.52041633;0.0;0.2495739;0.05833333;0.0;0.0;0.0001
193;0.00011050328917739486;0.00019435;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.58446757;0.0;0.23204285;0.05;0.0;0.0;0.0001
194;0.00010966635834491478;0.00019177;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.64051241;0.0;0.15680545;0.04166667;0.0;0.0;0.0001
195;0.00010835838065676057;0.00019185;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.71977582;0.0;0.15084003;0.03333333;0.0;0.0;0.0001
196;0.00010768966440732774;0.00019228;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.71096878;0.0;0.10518627;0.04166667;0.0;0.0;0.0001
197;0.0001075874930326725;0.00019463;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.73899119;0.0;0.09702946;0.04166667;0.0;0.0;0.0001
198;0.00010926273539188478;0.0001919;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.80864692;0.0;0.12235208;0.04166667;0.0;0.0;0.0001
199;0.00010977221157090895;0.00018745;0.0;0.0001821001433304;0.0001141552511415;0.0;0.80384307;0.0;0.2229121;0.04166667;0.0;0.0;0.0001
200;0.00011367946124649207;0.00018377;0.0;0.0001586033506426;0.0001141552511415;0.0;0.80384307;0.0;0.53469686;0.04166667;0.0;0.0;0.0001
201;0.00011589202378547917;0.0001759;0.0;0.0001468549542987;0.0001141552511415;0.0;0.81985588;0.0;0.72145118;0.03333333;0.0;0.0;0.0001
202;0.00011635685751701884;0.00016993;0.0;0.0001644775488145;0.0001141552511415;0.00068587;0.80464371;0.0;0.71353786;0.025;0.0;0.0;0.0001
203;0.00011706101158558886;0.00016361;0.0;0.0001879743415023;0.0001141552511415;0.00925926;0.78622898;0.0;0.63708303;0.05833333;0.0;0.0;0.0001
204;0.00011832664798334539;0.00015651;0.0;0.0002067717756526;0.0001141552511415;0.02263374;0.76701361;0.0;0.65534453;0.06666667;0.0;0.0;0.0001
205;0.00011765586069253441;0.00014737;0.0;0.0001879743415023;0.0001141552511415;0.03257888;0.77421938;0.0;0.59167275;0.06666667;0.0;0.0;0.0001
206;0.0001173037836582494;0.0001349;0.0;0.0001903240207711;0.0001141552511415;0.03943759;0.76461169;0.0;0.40796202;0.06666667;0.0;0.0;0.0001
207;0.00011714960613343182;0.00011979;0.0;0.0002138208134589;0.0001141552511415;0.04766804;0.75260208;0.0;0.28244461;0.06666667;0.0;0.01148829;0.0001
208;0.0001165305948770745;0.00010886;0.0;0.000223219530534;0.0001141552511415;0.01783265;0.75580464;0.0;0.20367665;0.06666667;0.0;0.0;0.0001
209;0.0001166514056241331;0.00010689;0.0;0.000223219530534;0.0001141552511415;0.00068587;0.77902322;0.0;0.21463355;0.06666667;0.0;0.0;0.0001
210;0.00011816211525163704;0.0001082;0.0;0.0001644775488145;0.0001141552511415;0.0;0.77582066;0.0;0.26454833;0.06666667;0.0;0.0;0.0001
211;0.00011824035459258925;0.00010876;0.0;0.0001174839634389;0.0001141552511415;0.0;0.79503603;0.0;0.52921841;0.06666667;0.0;0.0;0.0001
212;0.0001170886254706308;0.00010581;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.81345076;0.0;0.44071098;0.06666667;0.0;0.0;0.0001
213;0.0001146459472229607;9.5488e-05;0.0;5.874198171949529e-05;0.0001141552511415;0.0;0.81104884;0.0;0.21852934;0.06666667;0.0;0.0;0.0001
214;0.00011266004865702635;8.4398e-05;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.7886309;0.0;0.12770879;0.06666667;0.0;0.0;0.0001
215;0.0001148599548320359;8.0088e-05;0.0;2.3496792687798115e-05;0.0001141552511415;0.0;0.7766213;0.0;0.13282201;0.06666667;0.0;0.0;0.0001
216;0.00011333773941909778;7.8124e-05;0.0;9.398717075119246e-06;0.0001141552511415;0.0;0.79503603;0.0;0.12722182;0.03333333;0.0;0.0;0.0001
217;0.00011147529793087188;7.7526e-05;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.79023219;0.0;0.08875091;0.05;0.0;0.0;0.0001
218;0.0001102666151710144;7.7802e-05;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.79103283;0.0;0.06269783;0.05833333;0.0;0.0;0.0001
219;0.00010931727281484265;7.8646e-05;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.77982386;0.0;0.0522279;0.05833333;0.0;0.0;0.0001
220;0.00010895610621006467;8.041e-05;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.76861489;0.0;0.03567081;0.05833333;0.0;0.0;0.0001
221;0.00010894667146600867;8.2649e-05;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.74939952;0.0;0.03737521;0.05833333;0.0;0.0;0.0001
222;0.00010896462049128594;8.5426e-05;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.75660528;0.0;0.04273192;0.05833333;0.0;0.0;0.0001
223;0.00010700622075253921;8.8693e-05;0.0;0.0001821001433304;0.0001141552511415;0.0;0.76060849;0.0;0.0606282;0.06666667;0.0;0.0;0.0001
224;0.00010787997009840859;9.1362e-05;0.0;0.0001586033506426;0.0001141552511415;0.0;0.7510008;0.0;0.0715851;0.06666667;0.0;0.0;0.0001
225;0.00010973723398318913;9.2804e-05;0.0;0.0001468549542987;0.0001141552511415;0.0;0.75180144;0.0;0.06683711;0.075;0.0;0.078936;0.0001
