,ELECTRICITY,HEAT_LOW_T_SH,SPACE_COOLING,MOBILITY_PASSENGER,MOBILITY_FREIGHT,PV,WIND_ONSHORE,WIND_OFFSHORE,HYDRO_DAM,HYDRO_RIVER,TIDAL,SOLAR,CSP
2017-01-01 00:00:00+00:00,8.36345518216858e-05,0.00015817626898213043,0.0,1.41e-05,0.00011415525114155251,0.0,0.0552,0.0679,0.433101833705879,0.4207258137168552,0.0001,0.0,0.0
2017-01-01 01:00:00+00:00,7.253043835987495e-05,0.00015817626898213043,0.0,3.76e-05,0.00011415525114155251,0.0,0.0569,0.0785,0.43303697759897436,0.4205608719557239,0.0001,0.0,0.0
2017-01-01 02:00:00+00:00,6.439380349561702e-05,0.00015817626898213043,0.0,9.4e-05,0.00011415525114155251,0.0,0.0571,0.0853,0.43297212149206965,0.42039593019459265,0.0001,0.0,0.0
2017-01-01 03:00:00+00:00,5.635289374740916e-05,0.00015817626898213043,0.0,0.0001821,0.00011415525114155251,0.0,0.0544,0.0841,0.4329072653851649,0.4202309884334613,0.0001,0.0,0.0
2017-01-01 04:00:00+00:00,5.166236306095459e-05,0.00015817626898213043,0.0,0.000158603,0.00011415525114155251,0.0,0.054,0.0766,0.4328424092782602,0.42006604667233005,0.0001,0.0,0.0
2017-01-01 05:00:00+00:00,4.9317097717727304e-05,0.00015817626898213043,0.0,0.000146855,0.00011415525114155251,0.0,0.0552,0.0682,0.43277755317135547,0.4199011049111987,0.0001,0.0,0.0
2017-01-01 06:00:00+00:00,5.080083701650376e-05,0.00015817626898213043,0.0,0.000164478,0.00011415525114155251,0.009,0.0573,0.0619,0.4327126970644507,0.41973616315006745,0.0001,3.18e-05,0.0
2017-01-01 07:00:00+00:00,5.3193964917756086e-05,0.00015817626898213043,0.0,0.000187974,0.00011415525114155251,0.145,0.0543,0.0504,0.43264784095754605,0.4195712213889361,0.0001,0.0044547,0.3660884094393045
2017-01-01 08:00:00+00:00,5.376831561405665e-05,0.00015817626898213043,0.0,0.000206772,0.00011415525114155251,0.313,0.0346,0.029,0.43258298485064134,0.41940627962780486,0.0001,0.0147281,0.5149753396204195
2017-01-01 09:00:00+00:00,5.917678467088693e-05,0.00015817626898213043,0.0,0.000187974,0.00011415525114155251,0.429,0.0284,0.0151,0.43251812874373663,0.4192413378666735,0.0001,0.0259022,0.5295825568884308
