Country	2019 	2020 	2030 	2040 	2050 	2060 	2070 	2080 	2090 	2100 
AT	8858775 	8904262 	9149001 	9292363 	9345829 	9293065 	9247303 	9233330 	9219300 	9236567 
BE	11455519 	11507338 	11757990 	11894881 	11926987 	11865788 	11833541 	11836508 	11836801 	11854389 
BG	7000039 	6949549 	6450296 	6016719 	5655026 	5332585 	5045851 	4841511 	4748136 	4737768 
CH	8544527 	8580270 	9076646 	9542915 	9959383 	10319020 	10689572 	11099320 	11542881 	12042334 
CY	875899 	887331 	962854 	1012858 	1046219 	1074126 	1098070 	1110467 	1114031 	1118198 
CZ	10649800 	10693861 	10762174 	10625402 	10530251 	10414088 	10213463 	10096616 	10115533 	10207345 
DE	83019213 	83135181 	83453697 	83178426 	82669724 	81842817 	81695911 	82024654 	82460551 	83201514 
DK	5806081 	5811651 	5963578 	6055503 	6098190 	6122611 	6153605 	6197237 	6221306 	6247128 
EA19	341902187 	342842872 	346572956 	347072411 	344415478 	338523647 	333325172 	330669667 	329523283 	329296447 
EE	1324820 	1329916 	1308435 	1281555 	1256223 	1224839 	1193810 	1166985 	1149320 	1145053 
EL	10724599 	10696535 	10303200 	9910798 	9503127 	9038456 	8603587 	8323658 	8198911 	8142699 
ES	46937060 	47321434 	48746399 	49377094 	49348530 	48385094 	47104113 	46298547 	46026075 	45789061 
EU27_2020	446824564 	447671046 	449121599 	446754877 	441220961 	432474413 	424343512 	419259692 	416706966 	416074441 
FI	5517919 	5527189 	5519298 	5426143 	5290709 	5150584 	5037579 	4921741 	4803256 	4715868 
FR	67012883 	67197367 	68749400 	69802409 	70010903 	69680713 	69429375 	69424614 	69501144 	69651714 
HR	4076246 	4056285 	3828089 	3612487 	3392559 	3195202 	3034601 	2906946 	2820808 	2775929 
HU	9772756 	9771975 	9619020 	9441139 	9270352 	9117095 	8926914 	8788851 	8724890 	8714260 
IE	4904240 	4966879 	5504390 	5904540 	6213191 	6398732 	6496490 	6553563 	6598023 	6610753 
IS	356991 	365042 	416990 	455871 	489302 	519819 	548624 	574279 	598061 	623468 
IT	60359546 	60286529 	59942512 	59375006 	58125032 	55989561 	53951155 	52793198 	52042682 	51415877 
LI	38378 	38640 	41016 	42531 	43513 	44184 	45020 	46177 	47576 	49376 
LT	2794184 	2793592 	2575553 	2339698 	2137939 	1959630 	1825897 	1738949 	1688303 	1680055 
LU	613894 	626031 	692722 	739137 	769048 	782884 	787429 	787026 	783653 	781193 
LV	1919968 	1907094 	1712746 	1536108 	1395039 	1275102 	1181968 	1117481 	1084591 	1081686 
MT	493559 	506951 	588691 	634910 	668373 	693613 	706915 	705925 	696817 	689359 
NL	17282163 	17404793 	17969884 	18185792 	18142292 	18014595 	17988244 	18020249 	17988115 	17967454 
NO	5328212 	5367329 	5765319 	6095952 	6351119 	6544661 	6709767 	6855562 	6958409 	7046899 
PL	37972812 	37941122 	37018453 	35661656 	34102204 	32519968 	30890756 	29295630 	28185373 	27655094 
PT	10276617 	10291457 	10089138 	9786632 	9375347 	8910843 	8481486 	8193261 	8050731 	7980639 
RO	19414458 	19281118 	17808000 	16576187 	15502837 	14540962 	13688060 	13110335 	12838968 	12780621 
SE	10230185 	10322613 	11099033 	11693373 	12254064 	12708255 	13065090 	13352899 	13528669 	13659849 
SI	2080908 	2095314 	2106316 	2081622 	2043751 	1989404 	1938253 	1902751 	1889004 	1888364 
SK	5450421 	5457679 	5440730 	5312439 	5147215 	4953801 	4724046 	4516760 	4391975 	4346004 
UK		67000000	71000000	74000000	77000000
