,avail_local,c_op_local
WOOD,64497.52361111111,0.01890800631655636
WET_BIOMASS,30637.92348866708,0.017118966202358938
ENERGY_CROPS_2,89386.06666666667,0.028525506937895222
BIOWASTE,10574.63611111111,5.7285727294302e-07
BIOMASS_RESIDUES,24842.558333333334,0.011979322057374947
WASTE,38204.55,0.00717225
