;avail_local;c_op_local
WOOD;21112.598888888886;0.008632359881077238
WET_BIOMASS;3446.024173689558;0.013018829596808534
ENERGY_CROPS_2;1176.036111111111;0.01792934614791388
BIOWASTE;1410.2133333333334;5.481196019061371e-05
BIOMASS_RESIDUES;4395.996111111111;0.011925666482227405
WASTE;5338.17;0.00659634
