{PERIODS};Electricity (%_elec);Space Heating (%_sh);Space Cooling (%_sc);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_dam;Hydro_river;Tidal;Solar
111;0.000182962;0.000215493;0;0.000213821;0.000114155;0.132288806;0.041602017;0.0995;0.238008279;0.537037037;0.405294592;0
112;0.000162768;0.00024785;0;0.00022322;0.000114155;0.044903893;0.045480993;0.1138;0.233016801;0.533837502;0.249890267;0
113;0.000153142;0.000282886;0;0.00022322;0.000114155;0.006622517;0.052948022;0.1529;0.732895057;0.577855342;0.072690001;0
114;0.000167173;0.000297101;0;0.000164478;0.000114155;0;0.058378588;0.1811;0.892865839;0.615183246;0.001731906;0
115;0.000185959;0.000305466;0;0.000117484;0.000114155;0;0.059154383;0.1771;0.855977599;0.622454916;0.014990807;0
116;0.000185395;0.000311398;0;8.8113E-05;0.000114155;0;0.05799069;0.1548;0.572315559;0.5840605;0.139202394;0
117;0.000165689;0.000315713;0;5.8742E-05;0.000114155;0;0.06041505;0.1359;0.262478695;0.545763041;0.178236822;0
118;0.000143226;0.000319967;0;3.75949E-05;0.000114155;0;0.065748642;0.1266;0.352812272;0.545956952;0.105440898;0
119;0.000142938;0.00032324;0;2.34968E-05;0.000114155;0;0.070694337;0.1153;0.374969564;0.551774287;0.031252677;0
120;0.000145489;0.000325653;0;9.39872E-06;0.000114155;0;0.071373157;0.1046;0.207815924;0.524723677;0.001337349;0
121;0.000131711;0.000327658;0;5.8742E-06;0.000114155;0;0.071664081;0.0952;0.124543462;0.505526469;0.073556955;0
122;0.000120934;0.000329253;0;2.34968E-06;0.000114155;0;0.071373157;0.1053;0.112977843;0.499709133;0.305272872;0
123;0.000115947;0.000330092;0;1.17484E-06;0.000114155;0;0.073021722;0.1421;0.083637692;0.494376576;0.392489236;0
124;0.000102207;0.000331421;0;1.40981E-05;0.000114155;0;0.073118697;0.2302;0.072559046;0.483032771;0.242233159;0
125;9.81566E-05;0.000332669;0;3.75949E-05;0.000114155;0;0.07980993;0.3361;0.131117604;0.480996704;0.070496059;0
126;0.000111074;0.000333016;0;9.39872E-05;0.000114155;0;0.095616757;0.3556;0.26771366;0.499806089;0.001708181;0
127;0.000140937;0.000331646;0;0.0001821;0.000114155;0;0.10802948;0.3854;0.544679815;0.541012216;0.014230385;0
128;0.000174471;0.000328946;0;0.000158603;0.000114155;0.010014537;0.108611327;0.4317;0.596055515;0.567868916;0.134116552;0
129;0.000191955;0.000311029;0;0.000146855;0.000114155;0.056533678;0.107641583;0.461;0.678232286;0.582218344;0.172694842;0.004044857
130;0.000199111;0.000286711;0;0.000164478;0.000114155;0.14149572;0.110841738;0.4143;0.635743852;0.591526081;0.102626204;0.015767143
131;0.000204169;0.000263619;0;0.000187974;0.000114155;0.213535778;0.118308767;0.2932;0.55174093;0.588229591;0.030666094;0
132;0.000210734;0.000242491;0;0.000206772;0.000114155;0.243579389;0.12102405;0.3103;0.502069637;0.582606166;0.001337349;0.002451429
133;0.000214483;0.000226497;0;0.000187974;0.000114155;0.240510418;0.12412723;0.3868;0.377526175;0.572425829;0.068567958;0.113679429
134;0.000208404;0.000219788;0;0.000190324;0.000114155;0.197221774;0.13072149;0.4449;0.336863891;0.550804731;0.286347164;0.076997143
135;0.000198769;0.000225679;0;0.000213821;0.000114155;0.115005653;0.133921645;0.3911;0.339420502;0.547411286;0.36769341;0.157314857
136;0.000180508;0.000248954;0;0.00022322;0.000114155;0.037958327;0.145849496;0.3334;0.349159971;0.534419236;0.227391412;0.107105143
137;0.000173748;0.000267833;0;0.00022322;0.000114155;0.006299467;0.153801396;0.2651;0.583881179;0.567868916;0.066241503;0
138;0.000188785;0.00026861;0;0.000164478;0.000114155;0;0.150601241;0.3184;0.841368395;0.612953267;0.001661385;0
139;0.000207091;0.000268405;0;0.000117484;0.000114155;0;0.147304112;0.4405;0.826637448;0.626914873;0.012787565;0
140;0.000205397;0.000269735;0;8.8113E-05;0.000114155;0;0.142358417;0.4742;0.546871196;0.587647857;0.124319533;0
141;0.000183012;0.00027268;0;5.8742E-05;0.000114155;0;0.134503491;0.4259;0.238251765;0.545956952;0.161957913;0
142;0.000159623;0.000275012;0;3.75949E-05;0.000114155;0;0.13072149;0.3584;0.25797419;0.538782238;0.097147986;0
143;0.000157656;0.000276975;0;2.34968E-05;0.000114155;0;0.120248255;0.2932;0.249452155;0.547023463;0.029515039;0
144;0.000158558;0.000281188;0;9.39872E-06;0.000114155;0;0.096683476;0.2431;0.137083029;0.527826256;0.001337349;0
145;0.000143919;0.000286793;0;5.8742E-06;0.000114155;0;0.079325058;0.2065;0.106890675;0.504169091;0.063809807;0
146;0.000131594;0.000289942;0;2.34968E-06;0.000114155;0;0.068657874;0.1925;0.113343073;0.489528796;0.268220293;0
147;0.00012539;0.000290924;0;1.17484E-06;0.000114155;0;0.061869666;0.2109;0.095812028;0.48128757;0.343964545;0
148;0.000111527;0.000292969;0;1.40981E-05;0.000114155;0;0.054790535;0.2153;0.086559533;0.471107233;0.213168635;0
149;0.000107353;0.000295955;0;3.75949E-05;0.000114155;0;0.051202483;0.1925;0.10056002;0.467229009;0.062161666;0
150;0.000118733;0.000301212;0;9.39872E-05;0.000114155;0;0.055178433;0.1529;0.36036036;0.497188288;0.00161545;0
151;0.000145909;0.000305159;0;0.0001821;0.000114155;0;0.067591156;0.0966;0.668492817;0.547702152;0.011445723;0
152;0.000178151;0.000304505;0;0.000158603;0.000114155;0.010014537;0.084270753;0.0357;0.804601899;0.584448323;0.115011628;0
153;0.000195886;0.000290045;0;0.000146855;0.000114155;0.056533678;0.098138092;0.002;0.724616508;0.600930774;0.151675501;0.003989143
154;0.000199635;0.000270226;0;0.000164478;0.000114155;0.143757067;0.102792863;0.0017;0.642926711;0.599573395;0.091868274;0.015666857
155;0.000202536;0.000248034;0;0.000187974;0.000114155;0.219835245;0.093968192;0.009;0.602264427;0.585030056;0.028393154;0
156;0.00020762;0.000225597;0;0.000206772;0.000114155;0.257308997;0.085240497;0.0287;0.548575603;0.586581346;0.001337349;0.012223714
157;0.000209906;0.000210237;0;0.000187974;0.000114155;0.258278146;0.083204034;0.0777;0.445093742;0.565445026;0.057093452;0.002574
158;0.000202988;0.000204551;0;0.000190324;0.000114155;0.218866096;0.087276959;0.1266;0.366812759;0.541206128;0.242490125;0.448043143
159;0.000191962;0.000212037;0;0.000213821;0.000114155;0.139234373;0.09435609;0.1741;0.299853908;0.537327904;0.310320471;0.671847429
160;0.000174076;0.000237623;0;0.00022322;0.000114155;0.049911161;0.108320403;0.3612;0.321889457;0.542369595;0.192966199;0.507256286
161;0.00016676;0.000256358;0;0.00022322;0.000114155;0.007107091;0.137315749;0.5803;0.61504748;0.556234245;0.056361494;0
162;0.000180689;0.000257545;0;0.000164478;0.000114155;0;0.183281614;0.7171;0.704894083;0.604518131;0.001548149;0
163;0.00020055;0.000257033;0;0.000117484;0.000114155;0;0.216543832;0.7888;0.548210373;0.580182277;0.009614278;0
164;0.000200281;0.000255499;0;8.8113E-05;0.000114155;0;0.244666408;0.8067;0.272339908;0.537037037;0.101939461;0
165;0.000179714;0.000253863;0;5.8742E-05;0.000114155;0;0.270558573;0.8367;0.218772827;0.508338181;0.137082597;0
166;0.000161415;0.000251654;0;3.75949E-05;0.000114155;0;0.286559348;0.8388;0.278061846;0.492825286;0.084312891;0
167;0.000159366;0.000249548;0;2.34968E-05;0.000114155;0;0.320209465;0.8242;0.251400049;0.493988753;0.0267642;0
