Time_series	Weights
ELECTRICTY	3
HEAT_LOW_T_SH	3
SPACE_COOLING	0
PV	1
WIND_ONSHORE	1
WIND_OFFSHORE	1
HYDRO_DAM	1
HYDRO_RIVER	1
TIDAL	1
