,avail_local,c_op_local
WOOD,39288.19583333333,0.009088024179829332
WET_BIOMASS,2354.629283432617,0.0139567377159232
ENERGY_CROPS_2,1060.7308333333333,0.019953925115366544
BIOWASTE,240.985,4.738103786667492e-07
BIOMASS_RESIDUES,1913.2866666666666,0.007996461543079703
WASTE,569.87,0.00186901
