{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
6811;0.00015198;0.00016389;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.074;0.2585;0.2149906;0.00065062;0.0;0.0;0.0001
6812;0.00013578;0.00016659;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.0623;0.2359;0.2149906;0.02927781;0.0;0.0;0.0001
6813;0.00010749;0.00016904;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.0551;0.2239;0.2149906;0.00260247;0.0;0.0;0.0001
6814;8.0252e-05;0.00016844;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.051;0.2072;0.2149906;0.0;0.0;0.0;0.0001
6815;5.6497e-05;0.00017092;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.0476;0.1858;0.2149906;0.0;0.0;0.0;0.0001
6816;4.5403e-05;0.00017463;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.0444;0.1759;0.2149906;0.04879636;0.0;0.0;0.0001
6817;4.2478e-05;0.00017852999999999999;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.041;0.1649;0.2149906;0.0;0.0;0.0;0.0001
6818;4.1927e-05;0.0001834;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.0381;0.1765;0.2149906;0.0;0.0;0.0;0.0001
6819;4.6613e-05;0.00018657;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.0336;0.2097;0.2149906;0.0;0.0;0.0;0.0001
6820;6.111e-05;0.00018742;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.0293;0.2471;0.2149906;0.0;0.0;0.0;0.0001
6821;0.00010079;0.0001875;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.0273;0.2698;0.2149906;0.0;0.0;0.0;0.0001
6822;0.00014524;0.00018314;0.0;9.398717075119246e-05;0.00011415525114155251;0.01157;0.0244;0.2555;0.2149906;0.0468445;0.0;0.02050286;0.0001
6823;0.00017378;0.00016394;0.0;0.0001821001433304354;0.00011415525114155251;0.25934;0.0186;0.2428;0.2149906;0.05855563;0.0;0.24489771;0.0001
