parameter name;avail_local;c_op_local
WOOD;19954.97;0.01131
WET_BIOMASS;429.85;0.01616
WASTE;3256.4;0.0062602
OTHER_LIGNO;735.68;0.01298
BIOWASTE;280.44;0.0004833
BIOMASS_RESIDUES;436.7;0.01163
