Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,7181.6238309048185,12756.272506092015,6768.08675015939,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,24472.852044479183,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,7129.962484549926,13008.292816103927,4360.780056645337,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,4496.055490063083,5387.108577223375,3195.1953186507785,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,1610.2169542021356,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,10094.096189797352,29213.13196361913,989.4633305556557,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,166162.42368575613,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,33481.346096106805,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,32545.762642532125,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,491759.9221941151,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,12031.155188297162,0.0,[GWh]
