Time;ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;7.285932657838112e-05;0.00018259590291257717;0.0;2.35e-06;0.00011415525114155251;0.0;0.615;0.7979;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 01:00:00+00:00;6.570104819303722e-05;0.00018259590291257717;0.0;1.17e-06;0.00011415525114155251;0.0;0.5714;0.7952;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 02:00:00+00:00;5.945926097562821e-05;0.00018259590291257717;0.0;1.41e-05;0.00011415525114155251;0.0;0.5044;0.7565;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 03:00:00+00:00;5.469833054009287e-05;0.00018259590291257717;0.0;3.76e-05;0.00011415525114155251;0.0;0.4377;0.7279;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 04:00:00+00:00;5.2884642755127026e-05;0.00018259590291257717;0.0;9.4e-05;0.00011415525114155251;0.0;0.3881;0.6572;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 05:00:00+00:00;5.3362182889998354e-05;0.00018259590291257717;0.0;0.0001821;0.00011415525114155251;0.0;0.3356;0.5701;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 06:00:00+00:00;5.500221971682916e-05;0.00018259590291257717;0.0;0.000158603;0.00011415525114155251;0.0;0.2929;0.5028;1.0;1.0;0.0001;0.0;0.0001
2017-01-01 07:00:00+00:00;5.456326868376563e-05;0.00018259590291257717;0.0;0.000146855;0.00011415525114155251;0.0;0.258;0.4579;1.0;1.0;0.0001;5.5599999999999996e-05;0.0001
2017-01-01 08:00:00+00:00;5.764074955293638e-05;0.00018259590291257717;0.0;0.000164478;0.00011415525114155251;0.001;0.231;0.4344;1.0;1.0;0.0001;0.0056441;0.0001
2017-01-01 09:00:00+00:00;6.614482286382674e-05;0.00018259590291257717;0.0;0.000187974;0.00011415525114155251;0.011;0.1979;0.4206;1.0;1.0;0.0001;0.020853100000000003;0.0001
2017-01-01 10:00:00+00:00;7.297509388380448e-05;0.00018259590291257717;0.0;0.000206772;0.00011415525114155251;0.026;0.1684;0.402;1.0;1.0;0.0001;0.03840609999999999;0.0001
2017-01-01 11:00:00+00:00;7.609598749250898e-05;0.00018259590291257717;0.0;0.000187974;0.00011415525114155251;0.03;0.1517;0.3836;1.0;1.0;0.0001;0.04651569999999999;0.0001
2017-01-01 12:00:00+00:00;7.894675738855901e-05;0.00018259590291257717;0.0;0.000190324;0.00011415525114155251;0.024;0.1468;0.3558;1.0;1.0;0.0001;0.038448800000000005;0.0001
