Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;7749.574146386813;16227.251662341267;6577.848253545806;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;15877.121321723494;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;29787.409856537513;15627.654280786137;3469.153674628001;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;3368.35544326574;4257.5485073350665;4629.282789740463;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;3151.901219156874;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;5220.527101164995;15108.628277203366;39.95762576019562;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;115843.84297208341;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;36776.07171194283;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0.0;0.0;0.0;20846.01730457272;[Mpkm]
Mobility;International shipping;SHIPPING;0.0;0.0;0.0;227164.8602133563;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;1861.273392858479;0.0;[GWh]
