{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;0.00010989692776803745;0.00019075;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.4379;0.774;0.51344462;0.0;0.0;0.0;0.0001
2;0.00010998230069089615;0.00018955;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.4416;0.7756;0.51344462;0.0;0.0;0.0;0.0001
3;0.00010955957815911325;0.00018756;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.4501;0.7856;0.51344462;0.0;0.0;0.0;0.0001
4;0.00010927296906094472;0.00018489;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.444;0.809;0.51344462;0.0;0.0;0.0;0.0001
5;0.00010927411963941992;0.00018213;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.4429;0.819;0.51344462;0.0;0.0;0.0;0.0001
6;0.0001094103481308818;0.0001795;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.4519;0.8337;0.51344462;0.0;0.0;0.0;0.0001
7;0.00011029836459802941;0.00017703;0.0;0.0001821001433304;0.0001141552511415;0.0;0.4753;0.8471;0.51344462;0.0;0.0;0.0;0.0001
8;0.00011108651085353099;0.00017459;0.0;0.0001586033506426;0.0001141552511415;0.0;0.4952;0.8781;0.51344462;0.0;0.0;0.0;0.0001
9;0.00011152465113688136;0.00017215;0.0;0.0001468549542987;0.0001141552511415;0.0;0.5094;0.9129;0.51344462;0.0;0.0;0.0;0.0001
10;0.00011165984410771558;0.00016871;0.0;0.0001644775488145;0.0001141552511415;0.03633;0.5233;0.9272;0.51344462;0.0;0.0;0.0;0.0001
11;0.00011282802643357069;0.00016513;0.0;0.0001879743415023;0.0001141552511415;0.00337;0.5358;0.937;0.51344462;0.0;0.0;0.0;0.0001
12;0.00011391877482804587;0.0001614;0.0;0.0002067717756526;0.0001141552511415;0.00439;0.5499;0.9396;0.51344462;0.0;0.0;0.0;0.0001
13;0.00011411897548272801;0.00015851;0.0;0.0001879743415023;0.0001141552511415;0.00101;0.5551;0.9591;0.51344462;0.0;0.0;0.0;0.0001
14;0.00011439511431677236;0.00015636;0.0;0.0001903240207711;0.0001141552511415;0.0;0.5709;0.9603;0.51344462;0.0;0.0;0.077376;0.0001
