,ELECTRICITY,HEAT_LOW_T_SH,SPACE_COOLING,MOBILITY_PASSENGER,MOBILITY_FREIGHT,PV,WIND_ONSHORE,WIND_OFFSHORE,HYDRO_DAM,HYDRO_RIVER,TIDAL,SOLAR,CSP
2017-01-01 00:00:00+00:00,9.932590832618235e-05,0.0005212325153990142,0.0,9.4e-05,0.00011415525114155251,0.0,0.2465,0.0001,0.429316238530113,0.3885489726048187,0.0001,0.0,0.0001
2017-01-01 01:00:00+00:00,9.599734935452514e-05,0.0005212325153990142,0.0,0.0001821,0.00011415525114155251,0.0,0.2435,0.0001,0.42920269106228937,0.38840968148829774,0.0001,0.0,0.0001
2017-01-01 02:00:00+00:00,9.358828181150249e-05,0.0005212325153990142,0.0,0.000158603,0.00011415525114155251,0.0,0.2518,0.0001,0.42908914359446565,0.38827039037177674,0.0001,0.0,0.0001
2017-01-01 03:00:00+00:00,9.268718021144057e-05,0.0005212325153990142,0.0,0.000146855,0.00011415525114155251,0.0,0.2571,0.0001,0.428975596126642,0.3881310992552558,0.0001,0.0,0.0001
2017-01-01 04:00:00+00:00,9.21538751828325e-05,0.0005212325153990142,0.0,0.000164478,0.00011415525114155251,0.0,0.2576,0.0001,0.42886204865881833,0.38799180813873485,0.0001,0.0,0.0001
2017-01-01 05:00:00+00:00,9.208031586854174e-05,0.0005212325153990142,0.0,0.000187974,0.00011415525114155251,0.0,0.2674,0.0001,0.4287485011909946,0.3878525170222138,0.0001,0.0015467999999999999,0.0001
2017-01-01 06:00:00+00:00,9.123438375419792e-05,0.0005212325153990142,0.0,0.000206772,0.00011415525114155251,0.031,0.2577,0.0001,0.4286349537231709,0.38771322590569285,0.0001,0.0610341,0.0001
2017-01-01 07:00:00+00:00,9.139989221135216e-05,0.0005212325153990142,0.0,0.000187974,0.00011415525114155251,0.192,0.217,0.0001,0.4285214062553472,0.3875739347891719,0.0001,0.1819872,0.0001
2017-01-01 08:00:00+00:00,9.136311255420676e-05,0.0005212325153990142,0.0,0.000190324,0.00011415525114155251,0.337,0.1984,0.0001,0.42840785878752347,0.3874346436726509,0.0001,0.2956567,0.0001
2017-01-01 09:00:00+00:00,9.07930278684533e-05,0.0005212325153990142,0.0,0.000213821,0.00011415525114155251,0.434,0.193,0.0001,0.4282943113196998,0.38729535255612996,0.0001,0.37864250000000005,0.0001
2017-01-01 10:00:00+00:00,9.055396009700831e-05,0.0005212325153990142,0.0,0.00022322,0.00011415525114155251,0.447,0.1966,0.0001,0.4281807638518761,0.387156061439609,0.0001,0.3910425,0.0001
2017-01-01 11:00:00+00:00,9.011260421126372e-05,0.0005212325153990142,0.0,0.00022322,0.00011415525114155251,0.401,0.2026,0.0001,0.4280672163840524,0.387016770323088,0.0001,0.3564553,0.0001
2017-01-01 12:00:00+00:00,9.029650249699064e-05,0.0005212325153990142,0.0,0.000164478,0.00011415525114155251,0.307,0.2053,0.0001,0.42795366891622866,0.38687747920656707,0.0001,0.2976159,0.0001
2017-01-01 13:00:00+00:00,9.17309091256606e-05,0.0005212325153990142,0.0,0.000117484,0.00011415525114155251,0.184,0.2134,0.0001,0.427840121448405,0.38691773606264945,0.0001,0.1737092,0.0001
2017-01-01 14:00:00+00:00,9.695362044030511e-05,0.0005212325153990142,0.0,8.81e-05,0.00011415525114155251,0.054,0.2839,0.0001,0.4277265739805813,0.38695799291873184,0.0001,0.0619952,0.0001
2017-01-01 15:00:00+00:00,0.00011076438169839671,0.0005212325153990142,0.0,5.87e-05,0.00011415525114155251,0.0,0.3314,0.0001,0.42761302651275757,0.38699824977481423,0.0001,0.000719,0.0001
2017-01-01 16:00:00+00:00,0.00011497565244154318,0.0005212325153990142,0.0,3.76e-05,0.00011415525114155251,0.0,0.3362,0.0001,0.42749947904493385,0.3870385066308966,0.0001,0.0,0.0001
2017-01-01 17:00:00+00:00,0.00011501243209868854,0.0005212325153990142,0.0,2.35e-05,0.00011415525114155251,0.0,0.332,0.0001,0.4273859315771102,0.387078763486979,0.0001,0.0,0.0001
2017-01-01 18:00:00+00:00,0.00011311827975570128,0.0005212325153990142,0.0,9.4e-06,0.00011415525114155251,0.0,0.3273,0.0001,0.42727238410928653,0.3871190203430614,0.0001,0.0,0.0001
2017-01-01 19:00:00+00:00,0.00010934836489829944,0.0005212325153990142,0.0,5.87e-06,0.00011415525114155251,0.0,0.3128,0.0001,0.4271588366414628,0.3871592771991438,0.0001,0.0,0.0001
2017-01-01 20:00:00+00:00,0.00010416243324080031,0.0005212325153990142,0.0,2.35e-06,0.00011415525114155251,0.0,0.2895,0.0001,0.4270452891736391,0.38719953405522617,0.0001,0.0,0.0001
2017-01-01 21:00:00+00:00,9.882938295471968e-05,0.0005212325153990142,0.0,1.17e-06,0.00011415525114155251,0.0,0.2578,0.0001,0.42693174170581544,0.38723979091130856,0.0001,0.0,0.0001
2017-01-01 22:00:00+00:00,9.391929872581093e-05,0.0005212325153990142,0.0,1.41e-05,0.00011415525114155251,0.0,0.2334,0.0001,0.4268181942379917,0.38728004776739094,0.0001,0.0,0.0001
2017-01-01 23:00:00+00:00,9.020455335412716e-05,0.0005212325153990142,0.0,3.76e-05,0.00011415525114155251,0.0,0.2259,0.0001,0.426704646770168,0.38732030462347333,0.0001,0.0,0.0001
2017-01-02 00:00:00+00:00,8.85322490633928e-05,0.0005172924118640121,0.0,9.4e-05,0.00011415525114155251,0.0,0.2267,0.0001,0.4265910993023443,0.38736056147955583,0.0001,0.0,0.0001
