nuts2_code;biomass_production_twh_medium_total;biomass_production_twh_low_total;biomass_production_twh_high_total;biomass_production_twh_medium_agri&landscape _residues;biomass_production_twh_low_agri&landscape _residues;biomass_production_twh_high_agri&landscape _residues;biomass_production_twh_medium_energy_crops;biomass_production_twh_low_energy_crops;biomass_production_twh_high_energy_crops;biomass_production_twh_medium_forestry;biomass_production_twh_low_forestry;biomass_production_twh_high_forestry;wind_onshore_capacity_gw_medium;wind_onshore_capacity_gw_low;wind_onshore_capacity_gw_high;wind_onshore_production_twh_medium;wind_onshore_production_twh_low;wind_onshore_production_twh_high;wind_onshore_land_use_percentage_medium;wind_onshore_land_use_percentage_low;wind_onshore_land_use_percentage_high;solar_capacity_gw_medium_total;solar_capacity_gw_low_total;solar_capacity_gw_high_total;solar_capacity_gw_medium_pv_roof;solar_capacity_gw_low_pv_roof;solar_capacity_gw_high_pv_roof;solar_capacity_gw_medium_pv_ground;solar_capacity_gw_low_pv_ground;solar_capacity_gw_high_pv_ground;solar_capacity_gw_medium_csp;solar_capacity_gw_low_csp;solar_capacity_gw_high_csp;solar_production_twh_medium_total;solar_production_twh_low_total;solar_production_twh_high_total;solar_production_twh_medium_pv_roof;solar_production_twh_low_pv_roof;solar_production_twh_high_pv_roof;solar_production_twh_medium_pv_ground;solar_production_twh_low_pv_ground;solar_production_twh_high_pv_ground;solar_production_twh_medium_csp;solar_production_twh_low_csp;solar_production_twh_high_csp
AT11;2.219066;1.854769;3.776925;0.722136;0.461219;1.087997;1.101561;0.998181;1.581197;0.395369;0.395369;1.107731;2.066237513;1.558287458;4.881486124;4.819432904;3.634655649;11.38591024;0.104778779;0.079020662;0.247539864;9.01;4.51;15.9;0.72;0.36;1.27;8.29;4.15;14.63;0;0;0;9.52;4.76;16.8;0.76;0.38;1.34;8.76;4.38;15.46;0;0;0
AT12;12.692085;11.10681;21.703167;3.436353;2.087436;4.880631;6.259233;6.022875;7.974069;2.996498;2.996498;8.848467;0.01;8.22;28.5;0.024673832;20.28189012;70.32042194;0.000104248;0.085691947;0.297107115;45.64;22.82;80.54;4;2;7.05;41.64;20.82;73.49;0;0;0;44.74;22.37;78.95;3.92;1.96;6.91;40.82;20.41;72.04;0;0;0
AT13;0.057521;0.054237;0.117569;0.002344;0.002344;0.002344;0.035875;0.032592;0.039422;0.019301;0.019301;0.075803;0;0;0.035;0;0;0.090887738;0;0;0.016949153;4.03;2.01;7.1;3.83;1.92;6.76;0.19;0.1;0.34;0;0;0;4.13;2.07;7.29;3.93;1.97;6.94;0.2;0.1;0.35;0;0;0
AT21;3.335069;3.106789;8.778625;0.656731;0.453314;0.823814;0.390556;0.365692;1.087939;2.287783;2.287783;6.866872;0.001934559;2.02548309;3.337113973;0.005033644;5.270225089;8.683035605;0.0000406;0.042529829;0.070070635;11.95;5.98;21.09;1.35;0.68;2.39;10.6;5.3;18.7;0;0;0;12.3;6.15;21.7;1.39;0.7;2.46;10.9;5.45;19.24;0;0;0
AT22;6.086999;5.484402;15.679258;1.402031;0.859169;1.945031;0.704872;0.645136;1.714189;3.980096;3.980096;12.020039;1.853308318;1.607027384;3.405409739;4.818771051;4.17841811;8.854376635;0.022551817;0.019554969;0.041438425;17.43;8.72;30.77;2.96;1.48;5.22;14.47;7.24;25.54;0;0;0;16.87;8.44;29.78;2.87;1.43;5.06;14.01;7;24.72;0;0;0
AT31;5.145475;4.253742;11.140108;1.688839;0.927533;2.461089;1.381014;1.250586;2.460806;2.075623;2.075623;6.218214;7.112161771;3.848180799;12.67148271;15.64300596;8.463968777;27.87058083;0.118862902;0.064313208;0.211773756;31.01;15.5;54.72;3.47;1.74;6.13;27.53;13.77;48.59;0;0;0;29.67;14.84;52.36;3.32;1.66;5.87;26.35;13.17;46.49;0;0;0
AT32;1.722221;1.590415;4.576089;0.339619;0.263369;0.360814;0.278517;0.222961;0.861919;1.104085;1.104085;3.353356;0;1.915318338;2.59769896;0;4.949322879;6.71264439;0;0.053537899;0.07261213;8.58;4.29;15.15;1.3;0.65;2.3;7.28;3.64;12.85;0;0;0;8.34;4.17;14.73;1.27;0.63;2.23;7.08;3.54;12.49;0;0;0
AT33;1.817232;1.672399;4.906994;0.397672;0.308394;0.424561;0.305825;0.250269;1.083636;1.113735;1.113735;3.398797;0.002366247;4.16459384;5.30039216;0.005732694;10.08954116;12.8412342;0.0000374;0.065869416;0.083833802;14.72;7.36;25.97;1.76;0.88;3.1;12.96;6.48;22.87;0;0;0;13.7;6.85;24.18;1.64;0.82;2.89;12.06;6.03;21.29;0;0;0
AT34;0.463007;0.356174;1.130236;0.149322;0.098044;0.1596;0.111175;0.055619;0.30565;0.20251;0.20251;0.664986;0.002552096;1.076984668;1.449590738;0.006237824;2.632361741;3.543084049;0.000196921;0.083100669;0.111851137;4.55;2.28;8.03;0.91;0.46;1.61;3.64;1.82;6.42;0;0;0;4.08;2.04;7.2;0.82;0.41;1.45;3.26;1.63;5.76;0;0;0
BE10;0.0012;0.0012;0.004542;0.0012;0.0012;0.0012;0;0;0;0;0;0.003342;0;0;0;0;0;0;0;0;0;2.6;1.3;4.58;2.58;1.29;4.55;0.02;0.01;0.04;0;0;0;2.38;1.19;4.21;2.36;1.18;4.17;0.02;0.01;0.03;0;0;0
BE21;2.884866;1.705688;4.611169;2.162828;1.011633;3.307078;0.520361;0.492378;0.614047;0.201677;0.201677;0.690044;0.375;0.03;1.085;0.739125;0.05913;2.138535;0.025987526;0.002079002;0.075190575;10.8;5.4;19.06;4.42;2.21;7.8;6.38;3.19;11.26;0;0;0;9.66;4.83;17.05;3.95;1.98;6.98;5.71;2.85;10.07;0;0;0
BE22;2.197059;1.578548;3.364892;0.882258;0.319508;1.468731;1.126772;1.071011;1.281147;0.188028;0.188028;0.615014;0.645;0.04;1.46;1.271295;0.07884;2.87766;0.052868852;0.003278689;0.119672131;7.58;3.79;13.38;2.13;1.06;3.75;5.46;2.73;9.63;0;0;0;6.87;3.43;12.12;1.93;0.96;3.4;4.94;2.47;8.72;0;0;0
BE23;3.13938;2.03733;4.585364;1.621939;0.603633;2.741078;1.416303;1.332558;1.588486;0.101139;0.101139;0.2558;0.685;0.035;2.025;1.985054736;0.101426154;5.868227503;0.045727637;0.002336449;0.13518024;13.22;6.61;23.33;3.6;1.8;6.35;9.62;4.81;16.98;0;0;0;12.04;6.02;21.24;3.27;1.64;5.78;8.76;4.38;15.46;0;0;0
BE24;2.45807;1.949268;3.177836;0.668542;0.272431;1.060597;1.671678;1.558986;1.841636;0.117851;0.117851;0.275603;0.036091503;0.000820261;0.134522876;0.071136353;0.001616735;0.265144589;0.003414523;0.0000776;0.012726857;8.71;4.36;15.38;2.71;1.36;4.79;6;3;10.59;0;0;0;7.97;3.98;14.06;2.48;1.24;4.38;5.49;2.74;9.68;0;0;0
BE25;5.742435;3.995607;7.844814;3.040458;1.406736;4.717014;2.637458;2.524353;2.967875;0.064518;0.064518;0.159925;1.925;0.1;4.185;4.696765066;0.243987796;10.21088925;0.121412804;0.006307159;0.263954588;14.36;7.18;25.34;2.88;1.44;5.08;11.48;5.74;20.26;0;0;0;13.48;6.74;23.78;2.7;1.35;4.77;10.77;5.39;19.01;0;0;0
BE31;2.10776;1.796422;2.515883;0.393053;0.140914;0.588414;1.661375;1.602175;1.810836;0.053333;0.053333;0.116633;0.197683007;0.001640523;0.197683007;0.389633207;0.003233471;0.389633207;0.036506557;0.000302959;0.036506557;4.65;2.32;8.2;0.96;0.48;1.69;3.69;1.84;6.51;0;0;0;4.26;2.13;7.52;0.88;0.44;1.55;3.38;1.69;5.97;0;0;0
