{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;0.00011639877126115411;0.000361405;0.0;5.87e-06;0.000114155;0.0;0.134115594;0.5899;0.454346238;0.410025209;0.039802421;0.0;0.0
2;0.00011552135282722212;0.00036341;0.0;2.35e-06;0.000114155;0.0;0.14197052;0.5705;0.37083029;0.388501067;0.175270029;0.0;0.0
3;0.0001148303254060058;0.000364903;0.0;1.17e-06;0.000114155;0.0;0.149631497;0.5279;0.210129048;0.367170836;0.22268354;0.0;0.0
4;0.00011292372943581339;0.000366273;0.0;1.41e-05;0.000114155;0.0;0.153122576;0.5033;0.098612126;0.354275742;0.140092053;0.0;0.0
5;0.00011165051774031224;0.000367377;0.0;3.76e-05;0.000114155;0.0;0.143716059;0.525;0.132700268;0.348458406;0.041146591;0.0;0.0
6;0.00011145492223314146;0.000367787;0.0;9.4e-05;0.000114155;0.0;0.134503491;0.5091;0.15449233;0.33120031;0.00135751;0.0;0.0
7;0.00011145492223314146;0.000368809;0.0;0.0001821;0.000114155;0.0;0.153510473;0.4669;0.132213294;0.318305216;0.005310054;0.0;0.0
8;0.00011160449526803677;0.000367623;0.0;0.000158603;0.000114155;0.009529963;0.175911559;0.4639;0.111516922;0.336629824;0.068734206;0.0;0.0
9;0.00011227182111603122;0.00034355;0.0;0.000146855;0.000114155;0.062187046;0.187742436;0.5913;0.097759922;0.356893543;0.098975393;0.004267714;0.255084838
10;0.00011364340584602119;0.000309639;0.0;0.000164478;0.000114155;0.170085608;0.186869666;0.4844;0.099707816;0.368237347;0.064153486;0.037785429;0.395126058
11;0.0001150989815879139;0.000279941;0.0;0.000187974;0.000114155;0.264093038;0.17901474;0.2256;0.133308985;0.377060306;0.022253443;0.024937714;0.381849302
12;0.00011641867598041326;0.000253495;0.0;0.000206772;0.000114155;0.304151187;0.171450737;0.1883;0.206841977;0.388501067;0.001337349;0.012524571;0.329796639
13;0.00011779083599130667;0.00023883;0.0;0.000187974;0.000114155;0.299951543;0.166311094;0.212;0.11687363;0.3604809;0.046976286;0.023723143;0.35615768
14;0.00011682747059040021;0.000238564;0.0;0.000190324;0.000114155;0.244871588;0.164177657;0.2701;0.074263453;0.337696335;0.203356673;0.002919429;0.397326716
15;0.00011460308944914561;0.000254947;0.0;0.000213821;0.000114155;0.147149087;0.164565555;0.4128;0.072802532;0.331394221;0.25924941;0.0;0.444699015
16;0.00011244440538706426;0.000287917;0.0;0.00022322;0.000114155;0.048457438;0.187936385;0.5981;0.080350621;0.327515998;0.162203552;0.0;0.406396324
17;0.00011193815819203399;0.000308125;0.0;0.00022322;0.000114155;0.006299467;0.223138092;0.6921;0.365960555;0.356602676;0.047516238;0.0;0.0
18;0.00011434513349204156;0.000310907;0.0;0.000164478;0.000114155;0.0;0.259115594;0.7171;0.699293889;0.439208842;0.001440179;0.0;0.0
19;0.00011667306519591597;0.000313341;0.0;0.000117484;0.000114155;0.0;0.292571761;0.7385;0.776966155;0.477603258;0.007014863;0.0;0.0
20;0.00011750400093284974;0.000316899;0.0;8.81e-05;0.000114155;0.0;0.318948798;0.7779;0.654979304;0.467035098;0.082420653;0.0;0.0
21;0.00011678363418555781;0.000318208;0.0;5.87e-05;0.000114155;0.0;0.339022498;0.81;0.427684441;0.468295521;0.114894415;0.0;0.0
22;0.00011551744091707868;0.000318127;0.0;3.76e-05;0.000114155;0.0;0.350950349;0.8294;0.510469929;0.461896451;0.072661221;0.0;0.0
23;0.00011605739957305074;0.000318802;0.0;2.35e-05;0.000114155;0.0;0.376939488;0.8531;0.370221573;0.426119837;0.024189823;0.0;0.0
24;0.00011657549755469196;0.000319006;0.0;9.4e-06;0.000114155;0.0;0.385085338;0.8543;0.215850986;0.357281365;0.001337349;0.0;0.0
25;0.00011520609889213508;0.000317677;0.0;5.87e-06;0.000114155;0.0;0.390031032;0.8451;0.142683224;0.308124879;0.05288849;0.0;0.0
26;0.0001141603532658555;0.000314588;0.0;2.35e-06;0.000114155;0.0;0.391194725;0.8416;0.109934259;0.274966066;0.226284986;0.0;0.0
27;0.00011373096359952527;0.00031107;0.0;1.17e-06;0.000114155;0.0;0.409522886;0.8381;0.064889214;0.270700019;0.289156352;0.0;0.0
28;0.00011234085482444444;0.000307675;0.0;1.41e-05;0.000114155;0.0;0.42988751;0.8279;0.052349647;0.271378709;0.180233168;0.0;0.0
29;0.00011184611324748303;0.000303932;0.0;3.76e-05;0.000114155;0.0;0.436772692;0.8092;0.042610178;0.277777778;0.052702427;0.0;0.0
30;0.00011281971864847079;0.000297592;0.0;9.4e-05;0.000114155;0.0;0.43541505;0.7906;0.087168249;0.293096762;0.001504336;0.0;0.0
31;0.00011448929888644448;0.000290842;0.0;0.0001821;0.000114155;0.0;0.429111715;0.8257;0.176771366;0.310257902;0.008508853;0.0;0.0
32;0.00011604186698865777;0.000282927;0.0;0.000158603;0.000114155;0.009206913;0.411850272;0.7437;0.366812759;0.355536164;0.093799545;0.0;0.0
33;0.0001176213582371522;0.000266401;0.0;0.000146855;0.000114155;0.053464707;0.372672614;0.6327;0.483929876;0.409540431;0.127893469;0.004234286;0.228940499
34;0.00011929462027290795;0.000243759;0.0;0.000164478;0.000114155;0.136003877;0.341155935;0.4786;0.528853178;0.441535777;0.079513417;0.005370857;0.325617808
35;0.00012074674432938;0.000220525;0.0;0.000187974;0.000114155;0.205298013;0.317106284;0.3955;0.555514974;0.4731433;0.025713601;0.0;0.406366179
36;0.0001216709906288523;0.000202403;0.0;0.000206772;0.000114155;0.225650137;0.298972071;0.2676;0.654370587;0.479057592;0.001337349;0.0;0.34370175
37;0.00012272432996305734;0.000190786;0.0;0.000187974;0.000114155;0.21967372;0.268716059;0.1967;0.485634283;0.443765755;0.059277032;0.0;0.341023195
38;0.00012163589849374225;0.000190316;0.0;0.000190324;0.000114155;0.180746245;0.230896043;0.1099;0.392378865;0.391215823;0.250875033;0.0;0.430413431
39;0.00011974794162482141;0.000208069;0.0;0.000213821;0.000114155;0.103214343;0.20965865;0.0539;0.379839299;0.386561955;0.321279177;0.035189143;0.327478738
40;0.00011729793531323628;0.000239771;0.0;0.00022322;0.000114155;0.032789533;0.182020947;0.0392;0.395544193;0.418266434;0.199551644;0.589245429;0.463628176
41;0.00011655225620619284;0.000255438;0.0;0.00022322;0.000114155;0.005814893;0.164080683;0.0662;0.634526418;0.473531123;0.058252884;0.0;0.0
42;0.0001184073070074367;0.000262106;0.0;0.000164478;0.000114155;0.0;0.15564391;0.1394;0.843925006;0.529571456;0.001570371;0.0;0.0
43;0.00012023474432531529;0.000270941;0.0;0.000117484;0.000114155;0.0;0.144297905;0.2021;0.863647431;0.531413613;0.010201194;0.0;0.0
44;0.00012019574028006182;0.000274623;0.0;8.81e-05;0.000114155;0.0;0.132564003;0.2676;0.667031897;0.503587357;0.106180312;0.0;0.0
45;0.00011849302386204978;0.000275257;0.0;5.87e-05;0.000114155;0.0;0.115593483;0.343;0.437180424;0.46742292;0.141837775;0.0;0.0
46;0.0001167144854209639;0.000275523;0.0;3.76e-05;0.000114155;0.0;0.105508146;0.3854;0.478451424;0.468392476;0.086783404;0.0;0.0
47;0.00011696783913084041;0.000279675;0.0;2.35e-05;0.000114155;0.0;0.100659426;0.3403;0.541757974;0.441923599;0.027300064;0.0;0.0
48;0.00011739941486460372;0.000284706;0.0;9.4e-06;0.000114155;0.0;0.113266098;0.2777;0.29486243;0.43552453;0.001337349;0.0;0.0
49;0.0001156812809183794;0.00028804;0.0;5.87e-06;0.000114155;0.0;0.123933282;0.2854;0.194911127;0.391894512;0.066160369;0.0;0.0
50;0.00011436791461581791;0.000287283;0.0;2.35e-06;0.000114155;0.0;0.133436773;0.2564;0.150840029;0.360965678;0.27718495;0.0;0.0
51;0.0001135199505641422;0.00028759;0.0;1.17e-06;0.000114155;0.0;0.155740884;0.3683;0.101168736;0.324316463;0.355697074;0.0;0.0
52;0.00011169654021258773;0.000287079;0.0;1.41e-05;0.000114155;0.0;0.18473623;0.6544;0.075115656;0.298138453;0.220203476;0.0;0.0
