,avail_local,c_op_local
WOOD,174300.56027777778,0.01765660531100425
WET_BIOMASS,71778.38730500269,0.022640546993237323
ENERGY_CROPS_2,71972.53666666667,0.01908294779649616
BIOWASTE,31515.36111111111,0.0001995611595386418
BIOMASS_RESIDUES,52998.416666666664,0.008161592390731009
WASTE,57777.84,0.00854573
