param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
ES-PT	NUCLEAR	4845.734619	102.930986	707.88	60	0.849	0.0	1.0	0.0	0.0
ES-PT	CCGT	771.9917595	19.73031183	183.79	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	CCGT_AMMONIA	771.99	19.55202588	183.79	25	0.961538462	0.0	1.0	0.0	Infinity
ES-PT	COAL_US	2516.705684	29.70315573	331.6	35	0.868	0.0	1.0	0.0	Infinity
ES-PT	COAL_IGCC	3245.809533	48.94653057	331.6	35	0.856	0.0	1.0	0.0	Infinity
ES-PT	PV_ROOFTOP	737.8867059	9.726688396	2081.43	40	1.0	0.0	1.0	3.47	122.0
ES-PT	PV_UTILITY	335.4030481	8.432990925	2081.43	40	1.0	0.0	1.0	3.47	1379.0
ES-PT	PT_POWER_BLOCK	1044.57	62.65	0.0	25	1.0	0.0	1.0	0.0	569.0
ES-PT	ST_POWER_BLOCK	50.0	5.0	0.0	25	1.0	0.0	1.0	0.0	569.0
ES-PT	WIND_ONSHORE	1010.0	16.82	622.85	30	1.0	0.0	1.0	27.921	743.6
ES-PT	WIND_OFFSHORE	1667.432296	51.87199798	622.85	30	1.0	0.0	1.0	0.0	0.7
ES-PT	HYDRO_DAM	4200.6993	21.0018	1692.88	40	1.0	0.0	1.0	19.701	19.703
ES-PT	HYDRO_RIVER	5044.919936	50.4447982	1262.82	40	1.0	0.0	1.0	3.942	3.944
ES-PT	NEW_TIDAL_STREAM	2769.0	4.0	0.0	20	1.0	0.0	0.0	0.0	0.0
ES-PT	TIDAL_STREAM	3752.0	165.0	0.0	20	1.0	0.0	1.0	0.0	0.07
ES-PT	TIDAL_RANGE	2867.0	178.0	0.0	40	1.0	0.0	1.0	0.0	0.07
ES-PT	WAVE	1909.0	42.0	0.0	20	1.0	0.0	0.0	0.0	0.0
ES-PT	GEOTHERMAL	7488.0	142.272	24929.09	30	0.86	0.0	1.0	0.0	3.7
ES-PT	IND_COGEN_GAS	1408.03446	92.61166776	1024.32	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	IND_COGEN_WOOD	1080.794082	40.49068265	165.33	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	IND_COGEN_WASTE	2927.867778	111.3212848	647.82	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	IND_BOILER_GAS	58.89128196	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
ES-PT	IND_BOILER_WOOD	115.1793239	2.303586478	28.87	17	0.9	0.0	1.0	0.0	Infinity
ES-PT	IND_BOILER_OIL	54.85532353	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
ES-PT	IND_BOILER_COAL	115.1793239	2.303586478	48.18	17	0.9	0.0	1.0	0.0	Infinity
ES-PT	IND_BOILER_WASTE	115.1793239	2.303586478	28.87	17	0.9	0.0	1.0	0.0	Infinity
ES-PT	IND_DIRECT_ELEC	332.3438524	1.507631801	1.47	15	0.95	0.0	1.0	0.0	Infinity
ES-PT	DHN_HP_ELEC	344.7607454	11.9955052	174.79	25	0.95	0.0	1.0	0.0	Infinity
ES-PT	DHN_COGEN_GAS	1254.490121	37.53160408	490.88	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	DHN_COGEN_WOOD	1080.794082	40.49068265	165.33	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	DHN_COGEN_WASTE	2927.867778	111.3212848	647.82	25	0.85	0.0	1.0	0.0	Infinity
ES-PT	DHN_COGEN_WET_BIOMASS	2287.0	228.7	1024.0	25	0.75	0.0	1.0	0.0	Infinity
ES-PT	DHN_COGEN_BIO_HYDROLYSIS	4536.899731	221.6894187	647.8	15	0.85	0.0	1.0	0.0	Infinity
ES-PT	DHN_BOILER_GAS	58.89128196	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
ES-PT	DHN_BOILER_WOOD	115.1793239	2.303586478	28.87	17	0.9	0.0	1.0	0.0	Infinity
ES-PT	DHN_BOILER_OIL	54.85532353	1.179885757	12.32	17	0.95	0.0	1.0	0.0	Infinity
ES-PT	DHN_DEEP_GEO	1500.0	57.04	808.76	30	0.85	0.0	1.0	0.0	0.0
ES-PT	DHN_SOLAR	362.0	0.433	221.22	30	1.0	0.0	1.0	0.0	502.0
ES-PT	DEC_HP_ELEC	492.0404532	21.05066017	164.89	18	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_THHP_GAS	315.6849892	9.467178575	381.93	20	1.0	0.0	0.0	0.0	Infinity
ES-PT	DEC_COGEN_GAS	1408.03446	92.61166776	1024.32	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_COGEN_OIL	1305.562319	81.96460343	1024.32	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_ADVCOGEN_GAS	7242.27924	144.8450229	2193.45	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_ADVCOGEN_H2	7242.27924	144.8450229	2193.45	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_BOILER_GAS	158.5354434	4.756999719	21.09	17	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_BOILER_WOOD	462.4403034	16.18129038	21.09	17	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_BOILER_OIL	142.3822455	8.54012548	21.09	17	1.0	0.0	1.0	0.0	Infinity
ES-PT	DEC_SOLAR	719.0748197	8.090645191	221.22	20	1.0	0.0	1.0	0.0	502.0
ES-PT	DEC_DIRECT_ELEC	39.97565315	0.177919281	1.47	15	1.0	0.0	1.0	0.0	Infinity
ES-PT	BIG_SPLIT	232.0	9.333	0.0	15	1.0	0.0	1.0	0.0	Infinity
ES-PT	CHILLER_WC	119.0	4.76	0.0	20	1.0	0.0	1.0	0.0	Infinity
ES-PT	TRAMWAY_TROLLEY	625.0	12.5	0.0	30	0.342465753	0.0	0.3	0.0	Infinity
ES-PT	BUS_COACH_DIESEL	611.1111111	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
ES-PT	BUS_COACH_HYDIESEL	833.3333333	33.33333333	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
ES-PT	BUS_COACH_CNG_STOICH	611.1111111	30.55555556	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
ES-PT	BUS_COACH_FC_HYBRIDH2	1041.666667	31.25	0.0	15	0.296803653	0.0	1.0	0.0	Infinity
ES-PT	TRAIN_PUB	1506.024096	54.35274934	0.0	40	0.275072894	0.0	0.5	0.0	Infinity
ES-PT	PLANE_JETFUEL	1456.05	39.82	0.0	35	0.4999	0.4779	0.478	0.0	Infinity
ES-PT	CAR_GASOLINE	420.29	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_DIESEL	434.45	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_NG	429.38	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_METHANOL	420.29	24.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_HEV	429.41	34.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_PHEV	456.37	34.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_BEV	433.83	10.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	CAR_FUEL_CELL	672.41	10.0	0.0	10	0.051369863	0.0	1.0	0.0	Infinity
ES-PT	TRAIN_FREIGHT	104.4155844	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	Infinity
ES-PT	BOAT_FREIGHT_DIESEL	76.38888889	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
ES-PT	BOAT_FREIGHT_NG	76.38888889	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
ES-PT	BOAT_FREIGHT_METHANOL	76.38888889	3.819444444	0.0	40	0.114155251	0.0	1.0	0.0	Infinity
ES-PT	CONTAINER_CARGO_DIESEL	18.6763	1.8563	0.0	40	0.739666854	0.0	1.0	0.0	Infinity
