param : 	avail_local	avail_exterior	gwp_op_local	c_op_local := 
ES-PT	ELECTRICITY	0.0	0.0	0.206485714	0.08433
ES-PT	GASOLINE	0.0	Infinity	0.3448	0.082366044
ES-PT	GASOLINE_RE	0.0	Infinity	0.0	0.1917
ES-PT	JET_FUEL	0.0	Infinity	0.3148	0.0638
ES-PT	JET_FUEL_RE	0.0	Infinity	0.0	0.1917
ES-PT	DIESEL	0.0	Infinity	0.3148	0.079743788
ES-PT	DIESEL_RE	0.0	Infinity	0.0	0.1917
ES-PT	BIOETHANOL	0.0	Infinity	0.0	0.111323944
ES-PT	BIODIESEL	0.0	Infinity	0.0	0.120074962
ES-PT	LFO	0.0	Infinity	0.3115	0.06015058
ES-PT	GAS	0.0	Infinity	0.2666	0.04425306
ES-PT	GAS_RE	0.0	Infinity	0.0	0.118326
ES-PT	WOOD	117079.21	0.0	0.0118	0.032815086
ES-PT	WET_BIOMASS	169867.78	0.0	0.0118	0.00575743
ES-PT	COAL	0.0	0.0	0.4014	0.017657892
ES-PT	URANIUM	0.0	Infinity	0.0039	0.003876456
ES-PT	WASTE	55591.4	0.0	0.1501	0.023080857
ES-PT	H2	0.0	0.0	0.36380236	0.088003981
ES-PT	H2_RE	0.0	0.0	0.0	0.119242396
ES-PT	AMMONIA	0.0	0.0	0.455844357	0.094714031
ES-PT	METHANOL	0.0	Infinity	0.4076314	0.101985823
ES-PT	AMMONIA_RE	0.0	0.0	0.0	0.081823311
ES-PT	METHANOL_RE	0.0	Infinity	0.0	0.111323944
ES-PT	CO2_EMISSIONS	0.0	Infinity	0.0	0.0
ES-PT	RES_WIND	0.0	Infinity	0.0	0.0
ES-PT	RES_SOLAR	0.0	Infinity	0.0	0.0
ES-PT	RES_HYDRO	0.0	Infinity	0.0	0.0
ES-PT	RES_GEO	0.0	Infinity	0.0	0.0
ES-PT	CO2_ATM	0.0	Infinity	0.0	0.0
ES-PT	CO2_INDUSTRY	0.0	0.0	0.0	0.0
ES-PT	CO2_CAPTURED	0.0	0.0	0.0	0.0
ES-PT	PT_HEAT	0.0	0.0	0.0	0.0
ES-PT	ST_HEAT	0.0	0.0	0.0	0.0
FR	ELECTRICITY	0.0	0.0	0.206485714	0.08433
FR	GASOLINE	0.0	Infinity	0.3448	0.082366044
