Time;ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;6.186481506730108e-05;0.00023590992207264122;0.0;2.35e-06;0.00011415525114155251;0.0;0.0812;0.0679;0.6026054696330931;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 01:00:00+00:00;5.471222783767173e-05;0.00023590992207264122;0.0;1.17e-06;0.00011415525114155251;0.0;0.0648;0.0785;0.6020292458343909;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 02:00:00+00:00;4.926396803385251e-05;0.00023590992207264122;0.0;1.41e-05;0.00011415525114155251;0.0;0.0541;0.0853;0.6014530220356884;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 03:00:00+00:00;4.741994163871369e-05;0.00023590992207264122;0.0;3.76e-05;0.00011415525114155251;0.0;0.0476;0.0841;0.600876798236986;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 04:00:00+00:00;4.853753339334328e-05;0.00023590992207264122;0.0;9.4e-05;0.00011415525114155251;0.0;0.0436;0.0766;0.6003005744382837;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 05:00:00+00:00;5.0968295459662626e-05;0.00023590992207264122;0.0;0.0001821;0.00011415525114155251;0.0;0.0396;0.0682;0.5997243506395812;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 06:00:00+00:00;5.297996061799587e-05;0.00023590992207264122;0.0;0.000158603;0.00011415525114155251;0.004;0.0358;0.0619;0.5991481268408788;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 07:00:00+00:00;5.722680928558829e-05;0.00023590992207264122;0.0;0.000146855;0.00011415525114155251;0.169;0.0309;0.0504;0.5985719030421764;0.4031767489016559;0.0001;0.0;0.0001
2017-01-01 08:00:00+00:00;6.390442001950005e-05;0.00023590992207264122;0.0;0.000164478;0.00011415525114155251;0.33;0.0212;0.029;0.5979956792434741;0.4031767489016559;0.0001;0.0033058000000000002;0.0001
2017-01-01 09:00:00+00:00;6.820714827482394e-05;0.00023590992207264122;0.0;0.000187974;0.00011415525114155251;0.437;0.0087;0.0151;0.5974194554447716;0.4031767489016559;0.0001;0.021926300000000003;0.0001
2017-01-01 10:00:00+00:00;7.139228477551825e-05;0.00023590992207264122;0.0;0.000206772;0.00011415525114155251;0.491;0.0043;0.0093;0.5968432316460693;0.4031767489016559;0.0001;0.0438059;0.0001
2017-01-01 11:00:00+00:00;7.262163570561081e-05;0.00023590992207264122;0.0;0.000187974;0.00011415525114155251;0.492;0.0054;0.0077;0.5962670078473669;0.4031767489016559;0.0001;0.0580308;0.0001
2017-01-01 12:00:00+00:00;7.066585013500904e-05;0.00023590992207264122;0.0;0.000190324;0.00011415525114155251;0.439;0.005;0.01;0.5956907840486644;0.4031767489016559;0.0001;0.0632119;0.0001
2017-01-01 13:00:00+00:00;7.047027157794887e-05;0.00023590992207264122;0.0;0.000213821;0.00011415525114155251;0.328;0.0059;0.0135;0.5951145602499621;0.403162667567872;0.0001;0.0563803;0.0001
2017-01-01 14:00:00+00:00;7.248193673628212e-05;0.00023590992207264122;0.0;0.00022322;0.00011415525114155251;0.15;0.0073;0.0198;0.5945383364512596;0.403148586234088;0.0001;0.0357815;0.0001
2017-01-01 15:00:00+00:00;8.094769427760121e-05;0.00023590992207264122;0.0;0.00022322;0.00011415525114155251;0.001;0.0073;0.0297;0.5939621126525573;0.40313450490030406;0.0001;0.009060899999999998;0.0001
2017-01-01 16:00:00+00:00;8.550188067771678e-05;0.00023590992207264122;0.0;0.000164478;0.00011415525114155251;0.0;0.0079;0.038;0.5933858888538549;0.40312042356652017;0.0001;1.98e-05;0.0001
2017-01-01 17:00:00+00:00;8.547394088385103e-05;0.00023590992207264122;0.0;0.000117484;0.00011415525114155251;0.0;0.0098;0.0437;0.5928096650551525;0.4031063422327362;0.0001;0.0;0.0001
2017-01-01 18:00:00+00:00;8.564157964704548e-05;0.00023590992207264122;0.0;8.81e-05;0.00011415525114155251;0.0;0.0118;0.0482;0.59223344125645;0.40309226089895234;0.0001;0.0;0.0001
2017-01-01 19:00:00+00:00;8.226086458929096e-05;0.00023590992207264122;0.0;5.87e-05;0.00011415525114155251;0.0;0.0137;0.0538;0.5916572174577477;0.40307817956516834;0.0001;0.0;0.0001
2017-01-01 20:00:00+00:00;7.86845709744763e-05;0.00023590992207264122;0.0;3.76e-05;0.00011415525114155251;0.0;0.0154;0.0593;0.5910809936590453;0.40306409823138445;0.0001;0.0;0.0001
2017-01-01 21:00:00+00:00;7.22584183853562e-05;0.00023590992207264122;0.0;2.35e-05;0.00011415525114155251;0.0;0.0175;0.0648;0.5905047698603428;0.4030500168976005;0.0001;0.0;0.0001
2017-01-01 22:00:00+00:00;6.563668723917592e-05;0.00023590992207264122;0.0;9.4e-06;0.00011415525114155251;0.0;0.0198;0.0728;0.5899285460616406;0.4030359355638165;0.0001;0.0;0.0001
2017-01-01 23:00:00+00:00;5.9350233619384504e-05;0.00023590992207264122;0.0;5.87e-06;0.00011415525114155251;0.0;0.021;0.0834;0.5893523222629381;0.4030218542300326;0.0001;0.0;0.0001
2017-01-02 00:00:00+00:00;5.6360392216546705e-05;0.00023954271974375998;0.0;2.35e-06;0.00011415525114155251;0.0;0.0221;0.0914;0.5887760984642357;0.4030077728962487;0.0001;0.0;0.0001
