{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
5923;0.00016048;4.0432e-05;0.0;0.00011748396343899057;0.00011415525114155251;0.03196;0.3072;0.1804;0.0;0.48842593;0.03682775484207388;0.01190057;0.0001
5924;0.00015;5.3027e-05;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.3178;0.1785;0.0;0.46990741;0.3370857960383522;0.0;0.0001
5925;0.00015078;6.025e-05;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.3138;0.2457;0.0;0.44907407;0.4292398897291428;0.0;0.0001
5926;0.00014761;6.451e-05;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.303;0.2866;0.0;0.35416667;0.2528031048609652;0.0;0.0001
5927;0.00012011;6.8585e-05;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.2989;0.3641;0.0;0.22222222;0.07433474657539503;0.0;0.0001
5928;9.3219e-05;7.2197e-05;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.2947;0.3556;0.0;0.15046296;0.0031215642595836704;0.0;0.0001
5929;7.3755e-05;7.6086e-05;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.293;0.3484;0.0;0.15277778;0.16580180595916566;0.0;0.0001
5930;5.5022e-05;8.0328e-05;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.2909;0.3484;0.0;0.15277778;0.6902273837793407;0.0;0.0001
5931;4.2096e-05;8.518e-05;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.2875;0.3388;0.0;0.15277778;0.8868728884198273;0.0;0.0001
5932;3.3028e-05;9.1052e-05;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.2927;0.3836;0.0;0.15740741;0.5479030045862395;0.0;0.0001
5933;2.8071e-05;9.7793e-05;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.288;0.4293;0.0;0.15509259;0.159531020227366;0.0;0.0001
5934;2.9113e-05;0.00010509;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.2904;0.478;0.0;0.15277778;0.003932271956704157;0.0;0.0001
5935;3.5575e-05;0.00010502;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.2669;0.4805;0.0;0.15277778;0.03150188778546542;0.0;0.0001
5936;4.6864e-05;9.3144e-05;0.0;0.00015860335064263727;0.00011415525114155251;0.05177;0.2264;0.4867;0.0;0.15277778;0.30146889378957287;0.12195857;0.0001
5937;8.1158e-05;7.6809e-05;0.0;0.00014685495429873823;0.00011415525114155251;0.12198;0.2665;0.4805;0.0;0.15509259;0.39042969644661735;0.05387571;0.0001
5938;0.00011289;6.001e-05;0.0;0.0001644775488145868;0.00011415525114155251;0.17961;0.2417;0.3946;0.0;0.15046296;0.23309234109048785;0.05471143;0.0001
5939;0.000127;4.3396e-05;0.0;0.00018797434150238492;0.00011415525114155251;0.38906;0.1972;0.3083;0.0;0.15277778;0.07022712898886321;0.07318629;0.0001
5940;0.00013289;2.9079e-05;0.0;0.00020677177565262342;0.00011415525114155251;0.63852;0.165;0.2298;0.0;0.18287037;0.0031215642595836704;0.23834571;0.0001
5941;0.00013665;1.7707e-05;0.0;0.00018797434150238492;0.00011415525114155251;0.77055;0.1448;0.1634;0.0;0.29861111;0.1435862006530461;0.35261571;0.0001
5942;0.00013475;9.6312e-06;0.0;0.00019032402077116473;0.00011415525114155251;0.63088;0.1349;0.1255;0.0;0.39814815;0.605595902735432;0.63352714;0.0001
5943;0.00012515;5.3712e-06;0.0;0.00021382081345896285;0.00011415525114155251;0.70906;0.1329;0.1132;0.0;0.44675926;0.7760860525683203;0.71774486;0.0001
5944;0.0001202;6.1491e-06;0.0;0.00022321953053408208;0.00011415525114155251;0.54657;0.1375;0.1124;0.0;0.44444444;0.4814993114469825;0.48862543;0.0001
5945;0.00011982;1.278e-05;0.0;0.00022321953053408208;0.00011415525114155251;0.4125;0.1435;0.1116;0.0;0.44675926;0.1404830330395957;0.36401486;0.0001
5946;0.00012365;2.6764e-05;0.0;0.0001644775488145868;0.00011415525114155251;0.17839;0.1407;0.0961;0.0;0.44675926;0.0037178329768027055;0.185406;0.0001
5947;0.00011914;5.7324e-05;0.0;0.00011748396343899057;0.00011415525114155251;0.03175;0.1448;0.0817;0.0;0.44444444;0.025235644273189722;0.023634;0.0001
5948;0.00011219;8.8533e-05;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.1687;0.0728;0.0;0.42824074;0.25800961620007723;0.0;0.0001
5949;0.00011318;9.9886e-05;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.1762;0.0715;0.0;0.33796296;0.34242271152886555;0.0;0.0001
5950;0.00011658;0.00011089;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.1659;0.0946;0.0;0.25231481;0.20844299402764885;0.0;0.0001
5951;9.333e-05;0.0001217;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.1498;0.1383;0.0;0.18287037;0.0649896279527171;0.0;0.0001
5952;7.0967e-05;0.00013087;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.1316;0.1709;0.0;0.15509259;0.0031215642595836704;0.0;0.0001
5953;5.1263e-05;0.00013608;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.1123;0.1671;0.0;0.15277778;0.12344931381407097;0.0;0.0001
5954;3.6728e-05;0.00013623;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.0938;0.1471;0.0;0.15740741;0.5281815843778833;0.0;0.0001
5955;2.7975e-05;0.00013497;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.075;0.1383;0.0;0.15277778;0.6749323626708724;0.0;0.0001
5956;1.9783e-05;0.0001346;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.0633;0.1366;0.0;0.15509259;0.42069004185582703;0.0;0.0001
5957;1.62e-05;0.00013452;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.0595;0.1323;0.0;0.15277778;0.12301501582880431;0.0;0.0001
5958;1.7396e-05;0.00013578;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.058;0.123;0.0;0.15509259;0.003511335258923195;0.0;0.0001
5959;1.9565e-05;0.00012702;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.0526;0.0984;0.0;0.15509259;0.019860882289939832;0.0;0.0001
5960;2.6308e-05;0.00010787;0.0;0.00015860335064263727;0.00011415525114155251;0.05951;0.0412;0.0676;0.0;0.15277778;0.2189415807506915;0.010686;0.0001
