Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;24417.27201;36642.35445;55565.65472;0;[GWh]
Electricity;variable;ELECTRICITY_VAR;44646.38381;78136.02044;153052.4776;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;152560.2914;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;351837.7742;135181.1425;39680.99685;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;89934;30303;10281;0;[GWh]
Cold;process cooling;PROCESS_COOLING;0;15305.78259;27938;0;[GWh]
Cold;space cooling;SPACE_COOLING;34765.11389;49440.20222;15000;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;1404049;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;460967;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;60498;0;[GWh]
