{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2456;0.00015319;3.8388e-05;0.0;0.00015860335064263727;0.00011415525114155251;0.22189097;0.09276285;0.0;0.16905565;0.54456071;0.0;0.394134;0.0001
2457;0.0001513;1.74e-05;0.0;0.00014685495429873823;0.00011415525114155251;0.39650767;0.12305516;0.0;0.16517707;0.5396446;0.0;0.41205171;0.0001
2458;0.0001498;4.7255e-06;0.0;0.0001644775488145868;0.00011415525114155251;0.56175468;0.28394625;0.0;0.10168634;0.53635216;0.0;0.39024514;0.0001
2459;0.00014713;0.0;0.0;0.00018797434150238492;0.00011415525114155251;0.66908007;0.60077793;0.0;0.0420742;0.53012809;0.0;0.50998629;0.0001
2460;0.00013325;0.0;0.0;0.00020677177565262342;0.00011415525114155251;0.73381601;0.72654408;0.0;0.04165261;0.53342053;0.0;0.48300943;0.0001
2461;0.00012126;0.0;0.0;0.00018797434150238492;0.00011415525114155251;0.75127768;0.83168317;0.0;0.07386172;0.52773769;0.0;0.22942029;0.0001
2462;0.00011578;0.0;0.0;0.00019032402077116473;0.00011415525114155251;0.69591141;0.85561056;0.0;0.05413153;0.53400686;0.0;0.08481943;0.0001
2463;0.00012172;7.4529e-06;0.0;0.00021382081345896285;0.00011415525114155251;0.56942078;0.85796794;0.0;0.06644182;0.53337543;0.0;0.04705629;0.0001
2464;0.00012295;2.4269e-05;0.0;0.00022321953053408208;0.00011415525114155251;0.42802385;0.75459689;0.0;0.0653457;0.53342053;0.0;0.0;0.0001
2465;0.00013716;4.8816e-05;0.0;0.00022321953053408208;0.00011415525114155251;0.27896082;0.53583215;0.0;0.09679595;0.53251849;0.0;0.0;0.0001
2466;0.0001373;8.1822e-05;0.0;0.0001644775488145868;0.00011415525114155251;0.14565588;0.48644507;0.0;0.18389545;0.54825907;0.0;0.0;0.0001
2467;0.00014253;0.00010189;0.0;0.00011748396343899057;0.00011415525114155251;0.03833049;0.34382367;0.0;0.21205734;0.55709904;0.0;0.0;0.0001
2468;0.00013659;0.0001136;0.0;8.811297257924293e-05;0.00011415525114155251;0.00298126;0.28253182;0.0;0.19797639;0.56228577;0.0;0.0;0.0001
2469;0.00011716;0.00012374;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.30457331;0.0;0.17217538;0.55060437;0.0;0.0;0.0001
2470;0.00011233;0.00013205;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.29266855;0.0;0.18330523;0.54365867;0.0;0.0;0.0001
