Region 1,Region 2,dist
AL,GR,341.4506080854211
AL,IT,673.564606050466
AL,ME,195.29110725676333
AL,MK,146.0714871138601
AL,XK,173.12216444366427
AT,CH,454.63435713391885
AT,CZ,254.39694063224496
AT,DE,470.88467667226644
AT,HU,399.69441749772324
AT,IT,562.9016543466479
AT,SI,171.98412352161822
AT,SK,415.60058008493786
BA,HR,146.80693944136306
BA,ME,194.5020703923886
BA,RS,241.82689277761838
BE,DE,402.6518301029587
BE,DK,690.9787333473265
BE,FR,483.9722623614122
BE,GB,632.7246335138653
BE,LU,139.93342002923526
BE,NL,190.84238690829594
BE,NO,1550.9541102650057
BG,GR,456.2912616232628
BG,MK,317.94420162760963
BG,RO,342.721144920179
BG,RS,391.9562063932859
CH,AT,454.63435713391885
CH,DE,498.2123584402762
CH,FR,431.78196914907835
CH,IT,551.8366390622743
CZ,AT,254.39694063224496
CZ,DE,381.094342346753
CZ,PL,389.1549402174746
CZ,SK,321.4604005688513
DE,AT,470.88467667226644
DE,BE,402.6518301029587
DE,CH,498.2123584402762
DE,CZ,381.094342346753
DE,DK,545.305400297913
DE,FR,761.2802147951337
DE,LU,334.21780830866345
DE,NL,356.5513553017169
DE,NO,1443.4888521031621
DE,PL,636.2715149921921
DE,SE,1306.6496367916036
DK,BE,690.9787333473265
DK,DE,545.305400297913
DK,GB,845.374746585615
DK,NL,504.30217918723906
DK,NO,902.3807391746262
DK,PL,744.5859211913358
DK,SE,794.5852050318696
EE,FI,617.9224757412502
EE,LV,204.21839682008655
EE,SE,651.1874336238106
ES,FR,840.6049641559674
ES,PT,389.80426005863376
FI,EE,617.9224757412502
FI,SE,532.174344514976
FR,BE,483.9722623614122
FR,CH,431.78196914907835
FR,DE,761.2802147951337
FR,ES,840.6049641559674
FR,GB,920.9419048711828
FR,IE,1065.6061630518902
FR,IT,869.8874694197657
FR,LU,446.89177439076656
FR,NO,2033.2685862134106
GB,BE,632.7246335138653
GB,DK,845.374746585615
GB,FR,920.9419048711828
GB,IE,367.3198486110947
GB,NL,592.1116711678169
GB,NO,1393.6774587201462
GR,AL,341.4506080854211
GR,BG,456.2912616232628
GR,IT,993.9798790018601
GR,MK,306.43632380975464
HR,BA,146.80693944136306
HR,HU,329.88928735314136
HR,IT,424.55244851945787
HR,RS,360.96882835951465
HR,SI,171.22634565085235
HU,AT,399.69441749772324
HU,HR,329.88928735314136
HU,RO,452.7470273162925
HU,RS,345.3948569357964
HU,SI,368.12070085693944
HU,SK,171.75949583891003
IE,FR,1065.6061630518902
IE,GB,367.3198486110947
IT,AL,673.564606050466
IT,AT,562.9016543466479
IT,CH,551.8366390622743
IT,FR,869.8874694197657
IT,GR,993.9798790018601
IT,HR,424.55244851945787
IT,ME,575.2436802775546
IT,SI,431.93653983224885
LT,LV,180.8952779221218
LT,PL,464.529185063588
LT,SE,894.223235296502
LU,BE,139.93342002923526
LU,DE,334.21780830866345
LU,FR,446.89177439076656
LV,EE,204.21839682008655
LV,LT,180.8952779221218
LV,SE,779.873506785805
ME,AL,195.29110725676333
ME,BA,194.5020703923886
ME,IT,575.2436802775546
ME,RS,203.58363259934694
ME,XK,134.68403619085305
MK,AL,146.0714871138601
MK,BG,317.94420162760963
MK,GR,306.43632380975464
MK,RS,300.34337667196775
MK,XK,127.7550546184988
NL,BE,190.84238690829594
NL,DE,356.5513553017169
NL,DK,504.30217918723906
NL,GB,592.1116711678169
NL,NO,1360.942735730741
NO,BE,1550.9541102650057
NO,DE,1443.4888521031621
NO,DK,902.3807391746262
NO,FR,2033.2685862134106
NO,GB,1393.6774587201462
NO,NL,1360.942735730741
NO,SE,271.97829607386035
PL,CZ,389.1549402174746
PL,DE,636.2715149921921
PL,DK,744.5859211913358
PL,LT,464.529185063588
PL,SE,1154.826119891329
PL,SK,377.7821673511468
PT,ES,389.80426005863376
RO,BG,342.721144920179
RO,HU,452.7470273162925
RO,RS,374.1391908576565
RS,BA,241.82689277761838
RS,BG,391.9562063932859
RS,HR,360.96882835951465
RS,HU,345.3948569357964
RS,ME,203.58363259934694
RS,MK,300.34337667196775
RS,RO,374.1391908576565
RS,XK,183.65698425769446
SE,DE,1306.6496367916036
SE,DK,794.5852050318696
SE,EE,651.1874336238106
SE,FI,532.174344514976
SE,LT,894.223235296502
SE,LV,779.873506785805
SE,NO,271.97829607386035
SE,PL,1154.826119891329
SI,AT,171.98412352161822
SI,HR,171.22634565085235
SI,HU,368.12070085693944
SI,IT,431.93653983224885
SK,AT,415.60058008493786
SK,CZ,321.4604005688513
SK,HU,171.75949583891003
SK,PL,377.7821673511468
XK,AL,173.12216444366427
XK,ME,134.68403619085305
XK,MK,127.7550546184988
XK,RS,183.65698425769446
