From;To;Resources;Network_type;tc_min;tc_max
ES;PT;ELECTRICITY;HVAC_LINE;2.7;3.375
FI;EE;ELECTRICITY;HVDC_SUBSEA;1.016;1.27
FI;SE;ELECTRICITY;HVDC_SUBSEA;2.4;3
FR;BE;ELECTRICITY;HVAC_LINE;4.3;5.375
FR;CH;ELECTRICITY;HVAC_LINE;3.7;4.625
FR;DE;ELECTRICITY;HVAC_LINE;3;3.75
FR;ES;ELECTRICITY;HVAC_LINE;2.9;3.625
FR;GB;ELECTRICITY;HVDC_SUBSEA;4;5
FR;IE;ELECTRICITY;HVDC_SUBSEA;0;3
FR;IT;ELECTRICITY;HVAC_LINE;4.35;5.4375
FR;LU;ELECTRICITY;HVAC_LINE;0.38;0.475
FR;NO;ELECTRICITY;HVDC_SUBSEA;0;3
GB;BE;ELECTRICITY;HVDC_SUBSEA;1;1.25
GB;DK;ELECTRICITY;HVDC_SUBSEA;1.4;1.75
GB;FR;ELECTRICITY;HVDC_SUBSEA;4;5
GB;IE;ELECTRICITY;HVDC_SUBSEA;0.95;1.1875
GB;NL;ELECTRICITY;HVDC_SUBSEA;1;1.25
GB;NO;ELECTRICITY;HVDC_SUBSEA;1.4;1.75
GR;AL;ELECTRICITY;HVAC_LINE;0.4;0.5
GR;BG;ELECTRICITY;HVAC_LINE;1.7;2.125
GR;IT;ELECTRICITY;HVDC_SUBSEA;0.5;0.625
GR;MK;ELECTRICITY;HVAC_LINE;1.1;1.375
HR;BA;ELECTRICITY;HVAC_LINE;0.9;1.125
HR;HU;ELECTRICITY;HVAC_LINE;0.9;1.125
HR;IT;ELECTRICITY;HVDC_SUBSEA;0;3
HR;RS;ELECTRICITY;HVAC_LINE;0.3;0.375
HR;SI;ELECTRICITY;HVAC_LINE;1.2;1.5
HU;AT;ELECTRICITY;HVAC_LINE;0.8;1
HU;HR;ELECTRICITY;HVAC_LINE;0.9;1.125
HU;RO;ELECTRICITY;HVAC_LINE;1.1;1.375
HU;RS;ELECTRICITY;HVAC_LINE;0.75;0.9375
HU;SI;ELECTRICITY;HVAC_LINE;1.2;1.5
HU;SK;ELECTRICITY;HVAC_LINE;2.513;3.14125
IE;FR;ELECTRICITY;HVDC_SUBSEA;0;3
IE;GB;ELECTRICITY;HVDC_SUBSEA;0.95;1.1875
IT;AL;ELECTRICITY;HVDC_SUBSEA;0;3
IT;AT;ELECTRICITY;HVAC_LINE;0.715;0.89375
IT;CH;ELECTRICITY;HVAC_LINE;4.44;5.55
IT;FR;ELECTRICITY;HVAC_LINE;4.35;5.4375
IT;GR;ELECTRICITY;HVDC_SUBSEA;0.5;0.625
IT;HR;ELECTRICITY;HVDC_SUBSEA;0;3
IT;ME;ELECTRICITY;HVDC_SUBSEA;0.6;0.75
IT;SI;ELECTRICITY;HVAC_LINE;0.73;0.9125
LT;LV;ELECTRICITY;HVAC_LINE;0.95;1.1875
LT;PL;ELECTRICITY;HVAC_LINE;0.492;0.615
LT;SE;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
LU;BE;ELECTRICITY;HVAC_LINE;0.68;0.85
LU;DE;ELECTRICITY;HVAC_LINE;2.3;2.875
LU;FR;ELECTRICITY;HVAC_LINE;0.38;0.475
LV;EE;ELECTRICITY;HVAC_LINE;0.95;1.1875
LV;LT;ELECTRICITY;HVAC_LINE;0.95;1.1875
LV;SE;ELECTRICITY;HVDC_SUBSEA;0;3
ME;AL;ELECTRICITY;HVAC_LINE;0.4;0.5
ME;BA;ELECTRICITY;HVAC_LINE;0.5;0.625
ME;IT;ELECTRICITY;HVDC_SUBSEA;0.6;0.75
ME;RS;ELECTRICITY;HVAC_LINE;0.3;0.375
MK;AL;ELECTRICITY;HVAC_LINE;0.5;0.625
MK;BG;ELECTRICITY;HVAC_LINE;0.4;0.5
MK;GR;ELECTRICITY;HVAC_LINE;1.1;1.375
MK;RS;ELECTRICITY;HVAC_LINE;0.65;0.8125
NL;BE;ELECTRICITY;HVAC_LINE;2.4;3
NL;DE;ELECTRICITY;HVAC_LINE;4.4;5.5
NL;DK;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
NL;GB;ELECTRICITY;HVDC_SUBSEA;1;1.25
NL;NO;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
NO;BE;ELECTRICITY;HVDC_SUBSEA;0;3
NO;DE;ELECTRICITY;HVDC_SUBSEA;1.4;1.75
NO;DK;ELECTRICITY;HVDC_SUBSEA;1.632;2.04
NO;FR;ELECTRICITY;HVDC_SUBSEA;0;3
NO;GB;ELECTRICITY;HVDC_SUBSEA;1.4;1.75
NO;NL;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
NO;SE;ELECTRICITY;HVAC_LINE;3.995;4.99375
PL;CZ;ELECTRICITY;HVAC_LINE;1.05;1.3125
PL;DE;ELECTRICITY;HVAC_LINE;3;3.75
PL;DK;ELECTRICITY;HVDC_SUBSEA;0;3
PL;LT;ELECTRICITY;HVAC_LINE;0.492;0.615
PL;SE;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
PL;SK;ELECTRICITY;HVAC_LINE;0.818;1.0225
PT;ES;ELECTRICITY;HVAC_LINE;2.7;3.375
RO;BG;ELECTRICITY;HVAC_LINE;1.83;2.2875
RO;HU;ELECTRICITY;HVAC_LINE;1.1;1.375
RO;RS;ELECTRICITY;HVAC_LINE;0.7;0.875
RS;AL;ELECTRICITY;HVAC_LINE;0.25;0.3125
RS;BA;ELECTRICITY;HVAC_LINE;0.6;0.75
RS;BG;ELECTRICITY;HVAC_LINE;0.4;0.5
RS;HR;ELECTRICITY;HVAC_LINE;0.3;0.375
RS;HU;ELECTRICITY;HVAC_LINE;0.75;0.9375
RS;ME;ELECTRICITY;HVAC_LINE;0.3;0.375
RS;MK;ELECTRICITY;HVAC_LINE;0.65;0.8125
RS;RO;ELECTRICITY;HVAC_LINE;0.7;0.875
SE;DE;ELECTRICITY;HVDC_SUBSEA;0.615;0.76875
SE;DK;ELECTRICITY;HVAC_LINE;2.415;3.01875
SE;EE;ELECTRICITY;HVDC_SUBSEA;0;3
SE;FI;ELECTRICITY;HVDC_SUBSEA;2.4;3
SE;LT;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
SE;LV;ELECTRICITY;HVDC_SUBSEA;0;3
SE;NO;ELECTRICITY;HVAC_LINE;3.995;4.99375
SE;PL;ELECTRICITY;HVDC_SUBSEA;0.7;0.875
SI;AT;ELECTRICITY;HVAC_LINE;0.95;1.1875
SI;HR;ELECTRICITY;HVAC_LINE;1.2;1.5
SI;HU;ELECTRICITY;HVAC_LINE;1.2;1.5
SI;IT;ELECTRICITY;HVAC_LINE;0.73;0.9125
SK;AT;ELECTRICITY;HVAC_LINE;0;3
SK;CZ;ELECTRICITY;HVAC_LINE;1.6;2
SK;HU;ELECTRICITY;HVAC_LINE;2.513;3.14125
SK;PL;ELECTRICITY;HVAC_LINE;0.818;1.0225
AL;GR;GAS;GAS_PIPELINE;0;20
AL;IT;GAS;GAS_SUBSEA;0;20
AL;ME;GAS;GAS_PIPELINE;0;20
AL;MK;GAS;GAS_PIPELINE;0;20
AL;RS;GAS;GAS_PIPELINE;0;20
AT;CH;GAS;GAS_PIPELINE;0;20
AT;CZ;GAS;GAS_PIPELINE;0;20
AT;DE;GAS;GAS_PIPELINE;14.125;17.65625
AT;HU;GAS;GAS_PIPELINE;6.375;7.96875
AT;IT;GAS;GAS_PIPELINE;48.91666667;61.14583333
AT;SI;GAS;GAS_PIPELINE;4.708333333;5.885416667
AT;SK;GAS;GAS_PIPELINE;65.41666667;81.77083333
BA;HR;GAS;GAS_PIPELINE;0;20
BA;ME;GAS;GAS_PIPELINE;0;20
BA;RS;GAS;GAS_PIPELINE;0.75;0.9375
BE;DE;GAS;GAS_PIPELINE;18.125;22.65625
BE;DK;GAS;GAS_SUBSEA;0;20
BE;FR;GAS;GAS_PIPELINE;35;43.75
