From;To;Resources;Network_type;tc_min;tc_max
RS;MK;H2;H2_RETROFITTED;0;0
RS;RO;H2;H2_RETROFITTED;0;0
SE;DE;H2;H2_SUBSEA_RETRO;0;0
SE;DK;H2;H2_SUBSEA_RETRO;0;3.561392915
SE;EE;H2;H2_SUBSEA_RETRO;0;0
SE;FI;H2;H2_SUBSEA_RETRO;0;0
SE;LT;H2;H2_SUBSEA_RETRO;0;0
SE;LV;H2;H2_SUBSEA_RETRO;0;0
SE;NO;H2;H2_RETROFITTED;0;0
SE;PL;H2;H2_SUBSEA_RETRO;0;0
SI;AT;H2;H2_RETROFITTED;0;2.956924316
SI;HR;H2;H2_RETROFITTED;0;1.413043478
SI;HU;H2;H2_RETROFITTED;0;0
SI;IT;H2;H2_RETROFITTED;0;0.732689211
SK;AT;H2;H2_RETROFITTED;0;13
SK;CZ;H2;H2_RETROFITTED;0;13
SK;HU;H2;H2_RETROFITTED;0;3.375603865
SK;PL;H2;H2_RETROFITTED;0;4.553140097
AL;GR;H2;H2_NEW;0;13
AL;IT;H2;H2_SUBSEA_NEW;0;13
AL;ME;H2;H2_NEW;0;13
AL;MK;H2;H2_NEW;0;13
AL;RS;H2;H2_NEW;0;13
AT;CH;H2;H2_NEW;0;13
AT;CZ;H2;H2_NEW;0;13
AT;DE;H2;H2_NEW;0;13
AT;HU;H2;H2_NEW;0;13
AT;IT;H2;H2_NEW;0;13
AT;SI;H2;H2_NEW;0;13
AT;SK;H2;H2_NEW;0;13
BA;HR;H2;H2_NEW;0;13
BA;ME;H2;H2_NEW;0;13
BA;RS;H2;H2_NEW;0;13
BE;DE;H2;H2_NEW;0;13
BE;DK;H2;H2_SUBSEA_NEW;0;13
BE;FR;H2;H2_NEW;0;13
BE;GB;H2;H2_SUBSEA_NEW;0;13
BE;LU;H2;H2_NEW;0;13
BE;NL;H2;H2_NEW;0;13
BE;NO;H2;H2_SUBSEA_NEW;0;13
BG;GR;H2;H2_NEW;0;13
BG;MK;H2;H2_NEW;0;13
BG;RO;H2;H2_NEW;0;13
BG;RS;H2;H2_NEW;0;13
CH;AT;H2;H2_NEW;0;13
CH;DE;H2;H2_NEW;0;13
CH;FR;H2;H2_NEW;0;13
CH;IT;H2;H2_NEW;0;13
CZ;AT;H2;H2_NEW;0;13
CZ;DE;H2;H2_NEW;0;13
CZ;PL;H2;H2_NEW;0;13
CZ;SK;H2;H2_NEW;0;13
DE;AT;H2;H2_NEW;0;13
DE;BE;H2;H2_NEW;0;13
DE;CH;H2;H2_NEW;0;13
DE;CZ;H2;H2_NEW;0;13
DE;DK;H2;H2_NEW;0;13
DE;FR;H2;H2_NEW;0;13
DE;LU;H2;H2_NEW;0;13
DE;NL;H2;H2_NEW;0;13
DE;NO;H2;H2_SUBSEA_NEW;0;13
DE;PL;H2;H2_NEW;0;13
DE;SE;H2;H2_SUBSEA_NEW;0;13
DK;BE;H2;H2_SUBSEA_NEW;0;13
DK;DE;H2;H2_NEW;0;13
DK;GB;H2;H2_SUBSEA_NEW;0;13
DK;NL;H2;H2_SUBSEA_NEW;0;13
DK;NO;H2;H2_SUBSEA_NEW;0;13
DK;PL;H2;H2_SUBSEA_NEW;0;13
DK;SE;H2;H2_SUBSEA_NEW;0;13
EE;FI;H2;H2_SUBSEA_NEW;0;13
EE;LV;H2;H2_NEW;0;13
EE;SE;H2;H2_SUBSEA_NEW;0;13
ES;FR;H2;H2_NEW;0;13
ES;PT;H2;H2_NEW;0;13
FI;EE;H2;H2_SUBSEA_NEW;0;13
FI;SE;H2;H2_SUBSEA_NEW;0;13
FR;BE;H2;H2_NEW;0;13
FR;CH;H2;H2_NEW;0;13
FR;DE;H2;H2_NEW;0;13
FR;ES;H2;H2_NEW;0;13
FR;GB;H2;H2_SUBSEA_NEW;0;13
FR;IE;H2;H2_SUBSEA_NEW;0;13
FR;IT;H2;H2_NEW;0;13
FR;LU;H2;H2_NEW;0;13
FR;NO;H2;H2_SUBSEA_NEW;0;13
GB;BE;H2;H2_SUBSEA_NEW;0;13
GB;DK;H2;H2_SUBSEA_NEW;0;13
GB;FR;H2;H2_SUBSEA_NEW;0;13
GB;IE;H2;H2_SUBSEA_NEW;0;13
GB;NL;H2;H2_SUBSEA_NEW;0;13
GB;NO;H2;H2_SUBSEA_NEW;0;13
GR;AL;H2;H2_NEW;0;13
GR;BG;H2;H2_NEW;0;13
GR;IT;H2;H2_SUBSEA_NEW;0;13
GR;MK;H2;H2_NEW;0;13
HR;BA;H2;H2_NEW;0;13
HR;HU;H2;H2_NEW;0;13
HR;IT;H2;H2_SUBSEA_NEW;0;13
HR;RS;H2;H2_NEW;0;13
HR;SI;H2;H2_NEW;0;13
HU;AT;H2;H2_NEW;0;13
HU;HR;H2;H2_NEW;0;13
HU;RO;H2;H2_NEW;0;13
HU;RS;H2;H2_NEW;0;13
HU;SI;H2;H2_NEW;0;13
HU;SK;H2;H2_NEW;0;13
IE;FR;H2;H2_SUBSEA_NEW;0;13
IE;GB;H2;H2_SUBSEA_NEW;0;13
IT;AL;H2;H2_SUBSEA_NEW;0;13
IT;AT;H2;H2_NEW;0;13
IT;CH;H2;H2_NEW;0;13
IT;FR;H2;H2_NEW;0;13
IT;GR;H2;H2_SUBSEA_NEW;0;13
IT;HR;H2;H2_SUBSEA_NEW;0;13
IT;ME;H2;H2_SUBSEA_NEW;0;13
IT;SI;H2;H2_NEW;0;13
LT;LV;H2;H2_NEW;0;13
LT;PL;H2;H2_NEW;0;13
LT;SE;H2;H2_SUBSEA_NEW;0;13
LU;BE;H2;H2_NEW;0;13
LU;DE;H2;H2_NEW;0;13
LU;FR;H2;H2_NEW;0;13
LV;EE;H2;H2_NEW;0;13
LV;LT;H2;H2_NEW;0;13
LV;SE;H2;H2_SUBSEA_NEW;0;13
ME;AL;H2;H2_NEW;0;13
ME;BA;H2;H2_NEW;0;13
ME;IT;H2;H2_SUBSEA_NEW;0;13
ME;RS;H2;H2_NEW;0;13
MK;AL;H2;H2_NEW;0;13
MK;BG;H2;H2_NEW;0;13
MK;GR;H2;H2_NEW;0;13
MK;RS;H2;H2_NEW;0;13
NL;BE;H2;H2_NEW;0;13
NL;DE;H2;H2_NEW;0;13
NL;DK;H2;H2_SUBSEA_NEW;0;13
NL;GB;H2;H2_SUBSEA_NEW;0;13
NL;NO;H2;H2_SUBSEA_NEW;0;13
NO;BE;H2;H2_SUBSEA_NEW;0;13
NO;DE;H2;H2_SUBSEA_NEW;0;13
NO;DK;H2;H2_SUBSEA_NEW;0;13
NO;FR;H2;H2_SUBSEA_NEW;0;13
NO;GB;H2;H2_SUBSEA_NEW;0;13
NO;NL;H2;H2_SUBSEA_NEW;0;13
NO;SE;H2;H2_NEW;0;13
PL;CZ;H2;H2_NEW;0;13
PL;DE;H2;H2_NEW;0;13
PL;DK;H2;H2_SUBSEA_NEW;0;13
PL;LT;H2;H2_NEW;0;13
PL;SE;H2;H2_SUBSEA_NEW;0;13
PL;SK;H2;H2_NEW;0;13
PT;ES;H2;H2_NEW;0;13
RO;BG;H2;H2_NEW;0;13
RO;HU;H2;H2_NEW;0;13
RO;RS;H2;H2_NEW;0;13
RS;AL;H2;H2_NEW;0;13
RS;BA;H2;H2_NEW;0;13
RS;BG;H2;H2_NEW;0;13
RS;HR;H2;H2_NEW;0;13
RS;HU;H2;H2_NEW;0;13
RS;ME;H2;H2_NEW;0;13
RS;MK;H2;H2_NEW;0;13
RS;RO;H2;H2_NEW;0;13
SE;DE;H2;H2_SUBSEA_NEW;0;13
SE;DK;H2;H2_SUBSEA_NEW;0;13
SE;EE;H2;H2_SUBSEA_NEW;0;13
SE;FI;H2;H2_SUBSEA_NEW;0;13
SE;LT;H2;H2_SUBSEA_NEW;0;13
SE;LV;H2;H2_SUBSEA_NEW;0;13
SE;NO;H2;H2_NEW;0;13
SE;PL;H2;H2_SUBSEA_NEW;0;13
SI;AT;H2;H2_NEW;0;13
SI;HR;H2;H2_NEW;0;13
SI;HU;H2;H2_NEW;0;13
SI;IT;H2;H2_NEW;0;13
SK;AT;H2;H2_NEW;0;13
SK;CZ;H2;H2_NEW;0;13
SK;HU;H2;H2_NEW;0;13
SK;PL;H2;H2_NEW;0;13
