parameter name;avail_local;c_op_local
WOOD;3486.19;0.02319
WET_BIOMASS;13605.48;0.02389
WASTE;12746.48;0.00812027
OTHER_LIGNO;6378.61;0.03135
BIOWASTE;15105.33;0.00019
BIOMASS_RESIDUES;2258.83;0.01364
