Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;8737.094348886561;14170.342612674674;6773.113259958122;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;54746.57872036475;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;51358.037807900386;9844.901102311913;7132.470969098099;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;10330.673232839725;4041.09857328067;5834.598222688845;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;2793.5414443435684;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;2977.2901383346752;8616.51881156671;210.16805592904052;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;235865.1809586533;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;91780.59907744125;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;12388.901862501578;0.0;[GWh]
