{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
5094;9.537e-05;0.0;0.00054;9.398717075119246e-05;0.00011415525114155251;0.04775628;0.3838;0.0;0.07918263;0.54131054;0.0;0.05309571;0.36930327254267914
5095;0.00010842;0.0;0.00069023;0.0001821001433304354;0.00011415525114155251;0.17867435;0.3813;0.0;0.09514687;0.47863248;0.0;0.27803657;0.21023336581861266
5096;0.0001301;0.0;0.00082388;0.00015860335064263727;0.00011415525114155251;0.36146562;0.3449;0.0;0.12899106;0.59924027;0.0;0.50160686;0.9166143725883876
5097;0.00014124;0.0;0.00093373;0.00014685495429873823;0.00011415525114155251;0.51379168;0.311;0.0;0.16475096;0.64672365;0.0;0.69274029;1.095838581061283
5098;0.00014965;0.0;0.00100826;0.0001644775488145868;0.00011415525114155251;0.62577192;0.2954;0.0;0.19220945;0.57264957;0.0;0.87735514;1.1141999858115326
5099;0.000162;0.0;0.00105008;0.00018797434150238492;0.00011415525114155251;0.69123096;0.2951;0.0;0.18518519;0.662868;0.0;0.92179286;1.1515479248157818
5100;0.00017144;0.0;0.00105584;0.00020677177565262342;0.00011415525114155251;0.71099218;0.3003;0.0;0.09706258;0.64007597;0.0;1.0;1.1469246076435304
5101;0.00017299;0.0;0.00103286;0.00018797434150238492;0.00011415525114155251;0.67517497;0.3108;0.0;0.09067688;0.61918329;0.0;0.89837057;1.1648342071792543
5102;0.00016757;0.0;0.00098699;0.00019032402077116473;0.00011415525114155251;0.6060107;0.3263;0.0;0.10344828;0.60873694;0.0;0.72665914;1.0584515274564965
5103;0.00016638;0.0;0.00091877;0.00021382081345896285;0.00011415525114155251;0.47591601;0.344;0.0;0.14878672;0.65147198;0.0;0.53703;0.9814351569242399
5104;0.00016754;0.0;0.00083415;0.00022321953053408208;0.00011415525114155251;0.3211198;0.3517;0.0;0.17049808;0.59924027;0.0;0.29417143;0.829083198616025
5105;0.00016812;0.0;0.00073385;0.00022321953053408208;0.00011415525114155251;0.17949774;0.3432;0.0;0.26245211;0.63722697;0.0;0.08052943;0.22688521265176906
5106;0.0001694;0.0;0.00060335;0.0001644775488145868;0.00011415525114155251;0.05475504;0.3159;0.0;0.35312899;0.62583096;0.0;0.0;0.0
