parameter name;avail_local;c_op_local
WOOD;13413.16;0.01953
WET_BIOMASS;11838.63;0.02399
WASTE;17828.79;0.01002601
OTHER_LIGNO;5717.92;0.02336
BIOWASTE;10823.64;0.00017
BIOMASS_RESIDUES;3517.94;0.01324
